emt_id,customer_id,amount_cad,debit_credit,transaction_date,transaction_time
EMT00000000000000261,SYNCID0000000022,142.44,C,2022-12-30,20:25:34
EMT00000000000000262,SYNCID0000000022,31.03,C,2022-11-09,05:11:10
EMT00000000000000263,SYNCID0000000022,43.18,C,2022-11-17,19:04:07
EMT00000000000000264,SYNCID0000000022,321.09,C,2022-11-10,12:59:40
EMT00000000000000265,SYNCID0000000022,994.98,D,2022-12-25,15:14:22
EMT00000000000000266,SYNCID0000000022,431.86,C,2022-11-09,16:30:04
EMT00000000000000267,SYNCID0000000022,101.89,D,2023-01-23,14:36:39
EMT00000000000000268,SYNCID0000000022,1862.51,C,2022-12-06,12:22:10
EMT00000000000000269,SYNCID0000000023,4932.93,D,2022-12-20,20:13:17
EMT00000000000000270,SYNCID0000000023,159.15,D,2022-11-27,21:59:21
EMT00000000000000271,SYNCID0000000023,416.95,D,2022-12-13,04:46:44
EMT00000000000000272,SYNCID0000000023,1833.63,D,2023-01-15,18:28:53
EMT00000000000000273,SYNCID0000000026,88.05,C,2022-11-30,13:42:33
EMT00000000000000274,SYNCID0000000026,364.5,C,2022-12-18,22:46:15
EMT00000000000000275,SYNCID0000000029,1401.09,D,2022-12-09,04:03:48
EMT00000000000000276,SYNCID0000000029,987.5,D,2022-11-15,03:02:03
EMT00000000000000277,SYNCID0000000029,134.26,C,2022-12-10,17:50:32
EMT00000000000000278,SYNCID0000000029,52.63,C,2022-12-02,22:20:29
EMT00000000000000279,SYNCID0000000029,23.62,C,2022-12-16,18:39:05
EMT00000000000000280,SYNCID0000000029,21.42,C,2022-12-15,03:10:44
EMT00000000000000281,SYNCID0000000033,866.67,C,2022-12-31,12:28:48
EMT00000000000000282,SYNCID0000000033,1708.1,C,2022-12-17,06:21:16
EMT00000000000000283,SYNCID0000000033,124.35,C,2022-11-21,13:55:09
EMT00000000000000284,SYNCID0000000033,630.41,D,2023-01-12,14:39:52
EMT00000000000000285,SYNCID0000000033,1596.68,C,2022-11-16,20:54:24
EMT00000000000000286,SYNCID0000000033,41.75,C,2022-11-08,14:20:24
EMT00000000000000287,SYNCID0000000033,26.72,C,2022-11-04,20:09:53
EMT00000000000000288,SYNCID0000000033,2527.6,D,2022-12-15,10:42:28
EMT00000000000000289,SYNCID0000000033,101.49,C,2022-11-24,16:50:07
EMT00000000000000290,SYNCID0000000033,2634.64,C,2022-11-01,15:38:22
EMT00000000000000291,SYNCID0000000033,481.68,D,2022-11-15,19:22:09
EMT00000000000000292,SYNCID0000000033,80.45,D,2022-12-19,17:17:26
EMT00000000000000293,SYNCID0000000033,593.64,C,2022-11-05,13:31:53
EMT00000000000000294,SYNCID0000000033,158.54,C,2022-12-19,18:53:16
EMT00000000000000295,SYNCID0000000033,149.03,C,2022-12-03,01:48:29
EMT00000000000000296,SYNCID0000000034,3145.26,C,2022-12-21,19:45:57
EMT00000000000000297,SYNCID0000000034,2109.63,D,2022-11-23,15:52:01
EMT00000000000000298,SYNCID0000000034,2271.2,D,2023-01-05,15:06:41
EMT00000000000000299,SYNCID0000000035,41.31,D,2022-12-02,04:20:07
EMT00000000000000300,SYNCID0000000035,879.36,C,2022-11-01,17:46:22
EMT00000000000000301,SYNCID0000000037,1584.66,C,2022-12-02,15:15:37
EMT00000000000000302,SYNCID0000000037,97.67,C,2022-12-02,22:44:42
EMT00000000000000303,SYNCID0000000038,762.02,D,2022-11-22,04:11:02
EMT00000000000000304,SYNCID0000000038,773.64,D,2022-11-09,21:42:19
EMT00000000000000305,SYNCID0000000038,2443.74,C,2022-12-15,22:25:37
EMT00000000000000306,SYNCID0000000038,79.82,D,2022-12-20,15:21:36
EMT00000000000000307,SYNCID0000000038,21.53,C,2022-12-20,02:17:29
EMT00000000000000308,SYNCID0000000038,214.89,C,2022-11-02,16:06:35
EMT00000000000000309,SYNCID0000000038,135.28,C,2022-12-13,12:22:24
EMT00000000000000310,SYNCID0000000038,756.02,C,2022-12-16,16:46:48
EMT00000000000000311,SYNCID0000000038,61.91,D,2023-01-05,18:40:53
EMT00000000000000312,SYNCID0000000038,94.74,C,2022-11-28,17:18:10
EMT00000000000000313,SYNCID0000000038,66.43,C,2022-11-19,02:55:14
EMT00000000000000314,SYNCID0000000038,65.8,C,2022-11-09,16:16:22
EMT00000000000000315,SYNCID0000000038,1767.4,D,2022-12-19,15:27:02
EMT00000000000000316,SYNCID0000000038,11203.12,C,2022-12-08,17:36:25
EMT00000000000000317,SYNCID0000000038,128.97,C,2022-12-01,04:57:42
EMT00000000000000318,SYNCID0000000038,1092.42,D,2022-12-11,19:27:45
EMT00000000000000319,SYNCID0000000038,263.0,D,2023-01-18,15:42:17
EMT00000000000000320,SYNCID0000000038,393.57,D,2022-12-28,17:30:18
EMT00000000000000321,SYNCID0000000038,1250.99,C,2022-11-21,13:23:42
EMT00000000000000322,SYNCID0000000038,2092.97,C,2022-11-17,17:58:09
EMT00000000000000323,SYNCID0000000038,1048.22,D,2022-12-21,21:39:22
EMT00000000000000324,SYNCID0000000038,249.18,D,2023-01-03,13:20:19
EMT00000000000000325,SYNCID0000000038,21.57,C,2022-12-10,15:56:12
EMT00000000000000326,SYNCID0000000038,2612.8,C,2022-12-31,16:21:17
EMT00000000000000327,SYNCID0000000038,3283.06,C,2022-11-01,16:02:20
EMT00000000000000328,SYNCID0000000038,520.34,C,2022-12-04,16:39:11
EMT00000000000000329,SYNCID0000000038,899.39,D,2022-11-17,12:12:11
EMT00000000000000330,SYNCID0000000038,158.67,C,2022-12-07,17:39:40
EMT00000000000000331,SYNCID0000000038,590.45,C,2022-11-10,20:50:40
EMT00000000000000332,SYNCID0000000038,960.56,C,2022-11-01,21:30:32
EMT00000000000000333,SYNCID0000000038,187.84,D,2022-11-25,19:05:16
EMT00000000000000334,SYNCID0000000038,113.83,C,2022-11-08,19:53:51
EMT00000000000000335,SYNCID0000000038,1512.77,C,2022-11-07,21:08:51
EMT00000000000000336,SYNCID0000000038,10467.19,D,2023-01-22,16:33:00
EMT00000000000000337,SYNCID0000000038,264.06,D,2022-12-05,21:47:08
EMT00000000000000338,SYNCID0000000038,81.43,D,2022-11-30,20:15:03
EMT00000000000000339,SYNCID0000000038,158.22,C,2022-11-20,14:31:34
EMT00000000000000340,SYNCID0000000038,2575.66,D,2022-11-05,03:28:48
EMT00000000000000341,SYNCID0000000038,3077.72,D,2022-12-15,12:52:17
EMT00000000000000342,SYNCID0000000038,807.66,C,2022-11-04,00:09:31
EMT00000000000000343,SYNCID0000000038,3214.33,C,2022-11-01,17:38:14
EMT00000000000000344,SYNCID0000000040,517.68,C,2022-12-04,16:44:38
EMT00000000000000345,SYNCID0000000040,56.35,D,2023-01-18,12:49:39
EMT00000000000000346,SYNCID0000000040,2090.36,D,2022-12-16,20:29:12
EMT00000000000000347,SYNCID0000000040,988.69,C,2022-12-30,15:06:07
EMT00000000000000348,SYNCID0000000040,141.13,C,2022-12-09,19:28:57
EMT00000000000000349,SYNCID0000000040,860.77,C,2022-11-08,21:33:40
EMT00000000000000350,SYNCID0000000040,490.87,D,2022-11-26,17:50:27
EMT00000000000000351,SYNCID0000000040,102.78,D,2022-12-30,18:08:56
EMT00000000000000352,SYNCID0000000040,738.93,D,2022-12-31,10:24:57
EMT00000000000000353,SYNCID0000000040,454.85,C,2022-11-18,04:06:16
EMT00000000000000354,SYNCID0000000040,10.4,D,2023-01-10,14:58:50
EMT00000000000000355,SYNCID0000000040,417.07,D,2022-11-21,16:52:10
EMT00000000000000356,SYNCID0000000040,239.74,C,2022-11-01,03:30:12
EMT00000000000000357,SYNCID0000000040,612.73,D,2022-12-02,14:06:51
EMT00000000000000358,SYNCID0000000040,63.58,D,2023-01-23,21:59:14
EMT00000000000000359,SYNCID0000000040,88.04,C,2022-11-29,20:38:23
EMT00000000000000360,SYNCID0000000040,3088.56,D,2022-11-20,20:25:47
EMT00000000000000361,SYNCID0000000040,1158.27,D,2023-01-26,08:14:01
EMT00000000000000362,SYNCID0000000040,1583.88,C,2022-12-28,02:07:29
EMT00000000000000363,SYNCID0000000040,85.55,C,2022-11-09,20:31:10
EMT00000000000000364,SYNCID0000000040,1351.65,D,2022-12-21,09:39:25
EMT00000000000000365,SYNCID0000000040,285.96,D,2022-11-22,15:37:02
EMT00000000000000366,SYNCID0000000040,1254.71,D,2022-11-28,00:39:41
EMT00000000000000367,SYNCID0000000040,10.26,D,2022-12-15,14:29:09
EMT00000000000000368,SYNCID0000000040,95.32,D,2022-11-04,20:59:39
EMT00000000000000369,SYNCID0000000040,265.2,C,2022-11-09,16:55:36
EMT00000000000000370,SYNCID0000000040,1019.46,C,2022-11-18,11:26:02
EMT00000000000000371,SYNCID0000000040,1429.37,D,2022-12-21,09:47:11
EMT00000000000000372,SYNCID0000000040,3389.81,D,2022-11-25,13:49:30
EMT00000000000000373,SYNCID0000000040,1040.21,C,2022-12-22,00:15:11
EMT00000000000000374,SYNCID0000000040,4275.48,C,2022-11-29,02:25:28
EMT00000000000000375,SYNCID0000000040,1375.74,D,2023-01-06,00:04:28
EMT00000000000000376,SYNCID0000000040,1298.76,D,2023-01-22,14:48:10
EMT00000000000000377,SYNCID0000000040,29.73,C,2022-11-15,14:31:47
EMT00000000000000378,SYNCID0000000040,10.73,C,2022-11-11,19:00:22
EMT00000000000000379,SYNCID0000000040,3562.98,D,2023-01-09,10:51:32
EMT00000000000000380,SYNCID0000000040,4190.67,C,2022-12-07,17:38:35
EMT00000000000000381,SYNCID0000000040,36.81,C,2022-11-29,18:57:40
EMT00000000000000382,SYNCID0000000040,207.99,C,2022-12-01,18:20:43
EMT00000000000000383,SYNCID0000000040,570.25,D,2022-12-01,04:32:42
EMT00000000000000384,SYNCID0000000040,80.98,C,2022-11-03,01:12:05
EMT00000000000000385,SYNCID0000000044,322.88,D,2023-01-13,18:06:02
EMT00000000000000386,SYNCID0000000044,2312.26,D,2022-12-10,17:09:46
EMT00000000000000387,SYNCID0000000044,1320.09,D,2022-12-31,10:23:06
EMT00000000000000388,SYNCID0000000044,539.07,C,2022-12-19,19:58:03
EMT00000000000000389,SYNCID0000000044,2524.01,D,2022-11-08,19:10:36
EMT00000000000000390,SYNCID0000000046,344.04,D,2022-11-12,14:29:34
EMT00000000000000391,SYNCID0000000046,2106.82,D,2022-12-21,13:02:55
EMT00000000000000392,SYNCID0000000046,1188.74,C,2022-11-01,10:04:31
EMT00000000000000393,SYNCID0000000046,2095.21,D,2022-12-03,00:51:59
EMT00000000000000394,SYNCID0000000046,2029.19,C,2022-12-20,18:00:36
EMT00000000000000395,SYNCID0000000046,2107.11,C,2022-12-24,15:17:19
EMT00000000000000396,SYNCID0000000046,3160.78,D,2022-11-10,14:09:53
EMT00000000000000397,SYNCID0000000046,87.16,C,2022-11-15,10:59:07
EMT00000000000000398,SYNCID0000000046,20.96,D,2022-11-14,20:20:52
EMT00000000000000399,SYNCID0000000046,171.55,C,2022-12-22,16:43:15
EMT00000000000000400,SYNCID0000000046,107.98,C,2022-11-10,01:24:06
EMT00000000000000401,SYNCID0000000046,337.64,C,2022-11-04,03:41:15
EMT00000000000000402,SYNCID0000000046,488.75,C,2022-11-05,17:14:02
EMT00000000000000403,SYNCID0000000046,2937.94,D,2022-11-28,18:48:37
EMT00000000000000404,SYNCID0000000046,908.38,D,2023-01-04,14:41:50
EMT00000000000000405,SYNCID0000000046,325.13,C,2022-12-11,05:31:15
EMT00000000000000406,SYNCID0000000046,5307.4,C,2022-12-06,13:07:06
EMT00000000000000407,SYNCID0000000046,348.95,C,2022-11-14,21:06:42
EMT00000000000000408,SYNCID0000000046,3244.55,D,2022-12-13,15:14:28
EMT00000000000000409,SYNCID0000000046,975.85,D,2023-01-03,21:01:51
EMT00000000000000410,SYNCID0000000046,178.36,C,2022-12-23,21:23:01
EMT00000000000000411,SYNCID0000000046,66.94,C,2022-12-15,14:21:49
EMT00000000000000412,SYNCID0000000046,36.72,C,2022-12-05,00:18:59
EMT00000000000000413,SYNCID0000000046,49.53,C,2022-11-17,22:46:40
EMT00000000000000414,SYNCID0000000046,42.16,C,2022-11-25,18:57:53
EMT00000000000000415,SYNCID0000000046,52.76,C,2022-11-16,21:38:19
EMT00000000000000416,SYNCID0000000046,429.19,C,2022-12-02,16:22:30
EMT00000000000000417,SYNCID0000000046,203.39,D,2022-12-26,10:50:21
EMT00000000000000418,SYNCID0000000046,458.61,C,2022-12-19,03:41:48
EMT00000000000000419,SYNCID0000000046,1701.76,D,2022-12-17,09:21:45
EMT00000000000000420,SYNCID0000000046,20.17,D,2022-11-14,22:39:52
EMT00000000000000421,SYNCID0000000046,210.95,C,2022-12-06,15:44:09
EMT00000000000000422,SYNCID0000000046,371.92,C,2022-12-14,17:49:36
EMT00000000000000423,SYNCID0000000046,59.03,C,2022-12-20,22:42:16
EMT00000000000000424,SYNCID0000000046,1110.47,D,2022-12-09,11:16:37
EMT00000000000000425,SYNCID0000000046,240.75,C,2022-12-12,15:52:22
EMT00000000000000426,SYNCID0000000046,15.81,C,2022-11-28,15:11:01
EMT00000000000000427,SYNCID0000000046,90.36,D,2022-12-12,20:04:11
EMT00000000000000428,SYNCID0000000046,6459.0,D,2022-11-30,16:42:37
EMT00000000000000429,SYNCID0000000046,111.63,C,2022-12-28,19:08:55
EMT00000000000000430,SYNCID0000000046,215.02,D,2022-11-08,20:49:30
EMT00000000000000431,SYNCID0000000046,28.3,D,2022-12-24,21:33:35
EMT00000000000000432,SYNCID0000000046,744.41,C,2022-12-02,21:20:54
EMT00000000000000433,SYNCID0000000046,1243.83,C,2022-11-04,18:44:19
EMT00000000000000434,SYNCID0000000046,262.73,C,2022-11-05,15:54:01
EMT00000000000000435,SYNCID0000000046,894.56,C,2022-11-16,14:36:47
EMT00000000000000436,SYNCID0000000046,246.01,C,2022-11-26,14:02:14
EMT00000000000000437,SYNCID0000000046,1085.51,C,2022-11-05,17:32:59
EMT00000000000000438,SYNCID0000000046,42.78,C,2022-12-17,21:07:30
EMT00000000000000439,SYNCID0000000046,799.22,D,2022-11-30,16:07:37
EMT00000000000000440,SYNCID0000000046,179.64,D,2022-12-13,13:35:51
EMT00000000000000441,SYNCID0000000046,1694.0,D,2022-12-08,16:44:08
EMT00000000000000442,SYNCID0000000046,41.82,C,2022-12-24,20:29:03
EMT00000000000000443,SYNCID0000000046,45.2,C,2022-11-19,01:06:50
EMT00000000000000444,SYNCID0000000046,145.01,C,2022-12-14,12:27:51
EMT00000000000000445,SYNCID0000000046,839.47,C,2022-12-20,19:11:23
EMT00000000000000446,SYNCID0000000046,212.26,C,2022-11-23,16:45:30
EMT00000000000000447,SYNCID0000000046,221.64,C,2022-12-20,21:04:46
EMT00000000000000448,SYNCID0000000046,243.9,C,2022-12-14,13:21:37
EMT00000000000000449,SYNCID0000000046,193.89,C,2022-12-17,11:43:07
EMT00000000000000450,SYNCID0000000046,526.23,C,2022-11-19,04:54:22
EMT00000000000000451,SYNCID0000000046,581.33,D,2022-11-30,13:46:36
EMT00000000000000452,SYNCID0000000046,145.16,C,2022-11-26,17:43:08
EMT00000000000000453,SYNCID0000000046,206.57,C,2022-11-05,22:40:42
EMT00000000000000454,SYNCID0000000046,107.86,D,2023-01-29,21:52:31
EMT00000000000000455,SYNCID0000000046,2878.79,D,2022-12-10,13:04:05
EMT00000000000000456,SYNCID0000000046,210.52,C,2022-11-03,21:01:59
EMT00000000000000457,SYNCID0000000046,26.49,C,2022-11-19,15:22:49
EMT00000000000000458,SYNCID0000000046,2671.53,D,2022-12-10,22:08:29
EMT00000000000000459,SYNCID0000000046,201.84,C,2022-12-19,21:01:41
EMT00000000000000460,SYNCID0000000046,1178.84,C,2022-12-09,18:06:19
EMT00000000000000461,SYNCID0000000046,7842.16,C,2022-11-12,23:02:15
EMT00000000000000462,SYNCID0000000046,7541.29,C,2022-11-29,18:16:14
EMT00000000000000463,SYNCID0000000046,773.75,C,2022-12-03,10:30:15
EMT00000000000000464,SYNCID0000000046,32.67,D,2022-12-10,08:42:13
EMT00000000000000465,SYNCID0000000046,8.95,C,2022-11-08,22:31:02
EMT00000000000000466,SYNCID0000000046,530.77,D,2022-12-09,23:47:27
EMT00000000000000467,SYNCID0000000046,169.71,C,2022-12-16,05:03:17
EMT00000000000000468,SYNCID0000000046,52.87,C,2022-11-23,19:01:55
EMT00000000000000469,SYNCID0000000046,76.77,D,2022-11-11,14:42:26
EMT00000000000000470,SYNCID0000000046,388.04,C,2022-11-08,00:21:39
EMT00000000000000471,SYNCID0000000046,191.0,C,2022-12-02,17:37:50
EMT00000000000000472,SYNCID0000000046,108.44,C,2022-12-23,12:25:32
EMT00000000000000473,SYNCID0000000046,116.12,C,2022-12-02,19:28:23
EMT00000000000000474,SYNCID0000000046,31.84,D,2022-11-22,00:10:18
EMT00000000000000475,SYNCID0000000046,412.26,C,2022-11-22,07:58:40
EMT00000000000000476,SYNCID0000000046,80.43,D,2023-01-04,18:27:06
EMT00000000000000477,SYNCID0000000046,1628.43,C,2022-11-24,14:46:13
EMT00000000000000478,SYNCID0000000046,390.32,C,2022-11-23,04:19:45
EMT00000000000000479,SYNCID0000000046,109.77,C,2022-11-13,17:30:18
EMT00000000000000480,SYNCID0000000046,204.04,C,2022-11-14,11:45:40
EMT00000000000000481,SYNCID0000000046,23.65,D,2022-11-17,21:45:00
EMT00000000000000482,SYNCID0000000046,611.91,C,2022-12-31,07:30:19
EMT00000000000000483,SYNCID0000000046,676.63,D,2022-11-18,16:38:55
EMT00000000000000484,SYNCID0000000046,269.71,C,2022-12-23,01:31:42
EMT00000000000000485,SYNCID0000000046,108.07,C,2022-11-17,23:41:05
EMT00000000000000486,SYNCID0000000046,670.64,D,2022-11-18,22:20:44
EMT00000000000000487,SYNCID0000000046,514.99,D,2022-12-29,01:00:10
EMT00000000000000488,SYNCID0000000046,43.17,C,2022-11-17,18:24:45
EMT00000000000000489,SYNCID0000000046,3163.32,D,2023-01-24,08:42:08
EMT00000000000000490,SYNCID0000000046,5424.49,D,2023-01-17,10:13:04
EMT00000000000000491,SYNCID0000000046,44.67,C,2022-11-25,14:57:56
EMT00000000000000492,SYNCID0000000046,646.03,C,2022-12-02,00:04:21
EMT00000000000000493,SYNCID0000000046,251.9,D,2023-01-05,17:59:24
EMT00000000000000494,SYNCID0000000046,213.46,C,2022-11-17,20:56:09
EMT00000000000000495,SYNCID0000000046,430.44,C,2022-12-08,19:26:15
EMT00000000000000496,SYNCID0000000046,210.77,C,2022-11-26,15:47:05
EMT00000000000000497,SYNCID0000000046,52.46,C,2022-11-05,00:41:35
EMT00000000000000498,SYNCID0000000046,46.94,C,2022-12-11,19:25:39
EMT00000000000000499,SYNCID0000000046,150.78,D,2022-12-27,12:35:34
EMT00000000000000500,SYNCID0000000046,108.47,C,2022-11-11,17:11:38
EMT00000000000000501,SYNCID0000000046,30.1,C,2022-12-14,19:41:50
EMT00000000000000502,SYNCID0000000046,3013.77,D,2022-11-09,15:23:41
EMT00000000000000503,SYNCID0000000046,779.36,C,2022-12-11,10:50:59
EMT00000000000000504,SYNCID0000000046,107.45,C,2022-11-10,17:48:56
EMT00000000000000505,SYNCID0000000046,82.71,C,2022-12-23,16:10:28
EMT00000000000000506,SYNCID0000000046,197.35,C,2022-11-26,09:45:55
EMT00000000000000507,SYNCID0000000046,1621.03,D,2023-01-29,12:22:15
EMT00000000000000508,SYNCID0000000046,105.64,C,2022-12-05,19:30:55
EMT00000000000000509,SYNCID0000000046,92.79,C,2022-11-02,15:24:34
EMT00000000000000510,SYNCID0000000046,239.73,D,2023-01-17,18:43:12
EMT00000000000000511,SYNCID0000000046,808.22,C,2022-12-07,23:09:56
EMT00000000000000512,SYNCID0000000046,126.11,C,2022-11-30,18:32:33
EMT00000000000000513,SYNCID0000000046,31.54,C,2022-11-04,20:52:08
EMT00000000000000514,SYNCID0000000046,1289.89,C,2022-12-07,02:57:04
EMT00000000000000515,SYNCID0000000046,70.36,D,2022-12-16,09:50:53
EMT00000000000000516,SYNCID0000000046,454.24,D,2022-12-15,20:39:31
EMT00000000000000517,SYNCID0000000046,2611.69,C,2022-11-29,03:38:53
EMT00000000000000518,SYNCID0000000046,195.05,C,2022-11-15,00:05:15
EMT00000000000000519,SYNCID0000000046,3111.56,D,2023-01-13,15:16:10
EMT00000000000000520,SYNCID0000000046,110.06,C,2022-12-02,05:08:19
EMT00000000000000521,SYNCID0000000046,1260.52,C,2022-11-06,18:31:48
EMT00000000000000522,SYNCID0000000046,78.37,D,2022-12-27,16:32:31
EMT00000000000000523,SYNCID0000000046,28.45,C,2022-11-24,19:21:44
EMT00000000000000524,SYNCID0000000046,546.34,D,2022-12-01,12:51:30
EMT00000000000000525,SYNCID0000000046,70.37,C,2022-11-02,22:49:40
EMT00000000000000526,SYNCID0000000046,307.63,C,2022-12-23,18:24:53
EMT00000000000000527,SYNCID0000000046,856.47,D,2023-01-24,14:42:29
EMT00000000000000528,SYNCID0000000047,249.59,D,2022-12-28,21:28:49
EMT00000000000000529,SYNCID0000000047,67.31,D,2022-11-16,16:15:53
EMT00000000000000530,SYNCID0000000047,396.93,D,2022-12-01,18:05:48
EMT00000000000000531,SYNCID0000000047,73.92,D,2022-12-06,04:42:28
EMT00000000000000532,SYNCID0000000051,537.44,C,2022-11-12,14:41:39
EMT00000000000000533,SYNCID0000000051,312.85,C,2022-11-24,15:12:46
EMT00000000000000534,SYNCID0000000051,16.19,C,2022-12-24,12:44:06
EMT00000000000000535,SYNCID0000000051,31.5,C,2022-11-01,21:08:42
EMT00000000000000536,SYNCID0000000051,568.28,D,2022-12-10,15:31:05
EMT00000000000000537,SYNCID0000000051,110.68,D,2022-11-21,17:11:44
EMT00000000000000538,SYNCID0000000052,816.69,C,2022-11-06,22:39:37
EMT00000000000000539,SYNCID0000000052,9135.82,D,2022-11-01,15:47:13
EMT00000000000000540,SYNCID0000000053,32.03,C,2022-12-21,18:16:53
EMT00000000000000541,SYNCID0000000053,33.74,C,2022-11-24,00:21:58
EMT00000000000000542,SYNCID0000000056,9610.6,D,2023-01-14,18:56:36
EMT00000000000000543,SYNCID0000000056,102.56,C,2022-12-04,19:53:11
EMT00000000000000544,SYNCID0000000057,10300.18,D,2022-11-18,20:56:05
EMT00000000000000545,SYNCID0000000057,100.92,C,2022-12-02,16:53:51
EMT00000000000000546,SYNCID0000000057,65.08,C,2022-11-02,19:56:41
EMT00000000000000547,SYNCID0000000057,191.86,C,2022-11-03,14:00:11
EMT00000000000000548,SYNCID0000000060,10791.1,D,2023-01-09,11:37:06
EMT00000000000000549,SYNCID0000000061,4061.08,C,2022-12-09,13:59:42
EMT00000000000000550,SYNCID0000000061,1581.08,D,2022-12-21,19:55:05
EMT00000000000000551,SYNCID0000000062,2107.12,D,2022-12-27,11:40:34
EMT00000000000000552,SYNCID0000000062,1775.87,D,2022-11-03,15:19:52
EMT00000000000000553,SYNCID0000000062,3936.19,D,2022-12-09,02:23:18
EMT00000000000000554,SYNCID0000000063,4756.17,D,2022-12-26,18:09:56
EMT00000000000000555,SYNCID0000000063,650.25,C,2022-12-20,21:08:18
EMT00000000000000556,SYNCID0000000063,241.07,D,2022-12-20,15:04:03
EMT00000000000000557,SYNCID0000000063,1026.6,D,2022-11-25,20:32:01
EMT00000000000000558,SYNCID0000000063,62.97,C,2022-11-05,12:29:54
EMT00000000000000559,SYNCID0000000063,2986.11,D,2022-12-23,19:04:20
EMT00000000000000560,SYNCID0000000063,2348.32,C,2022-12-23,13:27:49
EMT00000000000000561,SYNCID0000000063,1077.45,D,2022-11-22,15:35:49
EMT00000000000000562,SYNCID0000000063,468.57,D,2022-12-22,15:22:32
EMT00000000000000563,SYNCID0000000063,531.62,C,2022-11-29,02:38:59
EMT00000000000000564,SYNCID0000000063,616.43,D,2022-11-11,02:53:47
EMT00000000000000565,SYNCID0000000063,2688.76,C,2022-12-02,17:19:16
EMT00000000000000566,SYNCID0000000063,1084.2,D,2022-11-01,18:22:21
