customer_id,country,province,city,industry_code,employee_count,sales,established_date,onboard_date,industry,total_amount,avg_amount,transaction_count,unique_transaction_types,debit_count,credit_count,max_transaction,min_transaction,embedding,anomaly_score,nearest_neighbors
SYNCID0000000011,CA,0,other,other,1.0,40498.0,1981-11-03,0,0,395326.05,3017.756106870229,131.0,3.0,114.0,17.0,85465.95,2.56,"[1.6556976  6.3643093  2.4361374  2.1117296  5.6373158  6.429614
 4.989509   2.8374047  0.94758385 2.1028762  2.1335192  5.9184356
 1.2560413  5.1376076  3.5341916  4.5833435 ]",1,[  10 1970 3715  520 9991]
SYNCID0000000012,CA,ON,BRAMPTON,4561,1.0,0.0,2019-12-21,0,General Freight Trucking Industry,73167.36,1556.7523404255319,47.0,2.0,41.0,6.0,56411.3,-246.99,"[1.0434239  5.3149567  3.9739082  6.180521   4.2159624  4.354265
 0.         3.823366   5.1503744  4.050711   4.999584   5.0043077
 3.0544364  0.75003827 1.1845675  4.398011  ]",1,[  11  396  651 9163 7978]
SYNCID0000000013,CA,ON,LONDON,8661,1.0,164853.0,2016-06-20,2016-07-29,Offices of Chiropractors and Osteopaths,2532305.19,8064.666210191082,314.0,3.0,279.0,35.0,1721280.34,-463.62,"[5.861223  5.186186  5.119158  1.349086  2.2073736 4.5219755 2.146299
 4.0589943 1.9631586 2.7169456 1.1634283 6.237425  4.698623  4.5583515
 0.8207791 6.24704  ]",1,[   12 15265  5309 13183   930]
SYNCID0000000014,CA,ON,MARKHAM,4275,0.0,0.0,2016-09-14,0,Painting and Decorating Work,119552.16999999998,1475.9527160493826,81.0,3.0,60.0,21.0,66908.87,-164.98,"[2.1724339 3.0839415 1.3723594 3.1267235 4.539584  2.06384   2.913465
 4.847929  4.5362935 5.39356   1.2513132 6.673834  2.2010808 2.9188576
 1.7478855 3.8040917]",1,[   13  9097  5976  1244 13909]
SYNCID0000000015,CA,ON,TORONTO,7771,1.0,411312.0,2019-08-04,0,Management Consulting Services,321885.0,21459.0,15.0,1.0,10.0,5.0,312788.86,0.66,"[3.2816403 5.696433  9.076994  2.4877675 2.3669505 5.1727433 1.4382197
 3.1030035 8.375654  5.507235  2.9749553 1.1074069 3.2516284 2.184977
 2.1316369 1.9074198]",1,[   14  7711 12977  1039  8176]
SYNCID0000000016,CA,ON,TRENTON,6312,1.0,0.0,2012-12-27,2012-03-12,Automobile (Used) Dealers,27761.14,3470.1425,8.0,2.0,3.0,5.0,22442.3,17.19,"[2.2670217 3.6871204 3.2013712 2.083754  3.1884992 4.1513357 1.3288578
 3.0065317 4.6409087 3.9706678 1.5609641 3.7422333 2.6604018 3.4297342
 2.5923116 2.3919191]",1,[   15 10673  5316  7642  9151]
SYNCID0000000017,CA,0,other,9931,0.0,0.0,1995-04-08,1995-08-09,Photographers,17520.07,8760.035,2.0,1.0,2.0,0.0,16323.85,1196.22,"[2.668849  6.5082297 1.3025438 2.2311628 6.8971844 5.8946404 2.7683616
 1.6260202 2.4791822 3.2320795 2.0785737 2.8024542 1.6634662 5.2659874
 3.0240011 2.882993 ]",1,[   16 12017  2666 14922  8578]
SYNCID0000000018,CA,0,other,7799,2.0,0.0,2023-10-20,2023-11-15,Other Business Services n.e.c.,219207.40000000002,5219.22380952381,42.0,1.0,39.0,3.0,193408.79,-61.06,"[1.7822666 7.935949  0.        0.8496849 6.0260687 5.0651393 3.3405695
 1.6120596 2.9723067 4.017581  2.1496496 3.7285063 2.108385  5.6010747
 1.8017254 2.7849045]",1,[  17 1826 6134 4018 3895]
SYNCID0000000019,CA,BC,COQUITLAM,0112,1.0,214530.0,2021-07-06,0,0,843550.48,6439.316641221374,131.0,4.0,99.0,28.0,600016.68,0.0,"[5.038093  1.4974257 3.6436706 2.4648218 2.7688768 5.724591  3.9533477
 4.8893247 1.2971541 1.7368488 1.9143479 5.57775   3.21885   3.2603784
 5.796585  4.9903812]",1,[   18 15925 13574 11279  2273]
SYNCID0000000021,CA,ON,WINDSOR,other,0.0,0.0,2008-01-19,2018-11-08,0,99555.09,5530.838333333333,18.0,2.0,5.0,13.0,64359.41,0.21,"[0.5653986 2.4261382 3.7942078 2.2755983 2.1301289 4.4743032 2.6373792
 3.3009965 4.9687805 3.6167474 1.7095633 5.5039983 1.4680829 5.0046015
 3.7475367 4.1485996]",1,[   19  3278  9579 12972  6111]
SYNCID0000000022,CA,ON,KEMPTVILLE,9811,0.0,0.0,1996-04-09,0,Religious Organizations,92509.51,848.7111009174312,109.0,4.0,45.0,13.0,25850.35,0.0,"[1.1659621 3.300169  5.27201   4.8704047 3.1006298 3.0715675 2.4798183
 3.877104  2.243011  2.9995265 2.1200733 3.5938334 3.706381  2.386871
 2.5276413 2.5347111]",1,[   20 14805 11304  8250   200]
SYNCID0000000023,CA,NS,SYDNEY,6011,1.0,1.0,2018-10-08,2018-12-30,Food (Groceries) Stores,41434.95,828.699,50.0,3.0,44.0,2.0,25866.59,0.0,"[1.7258086  2.3871717  2.5808372  3.0741966  4.898506   1.8701828
 4.3394394  4.610545   3.092502   5.469622   3.1938918  3.0157847
 0.65369433 3.0519543  4.8831315  1.5124738 ]",1,[   21  9057   412 12434  6528]
SYNCID0000000024,CA,ON,MIDLAND,7292,3.0,0.0,2014-04-09,2015-07-18,"Estate, Trust and Agency Funds",4010.24,501.28,8.0,1.0,6.0,2.0,977.53,105.28,"[2.0789661 2.2035875 3.3244889 2.732517  4.1610465 2.6868649 1.0985328
 2.5082183 5.4584823 3.1690965 4.0424747 2.9782038 3.212838  5.5580993
 2.3235812 3.6689956]",1,[   22  4280  6350 15666  3731]
SYNCID0000000025,CA,AB,EDMONTON,7752,0.0,0.0,2018-03-22,2022-12-17,Offices of Engineers,51538.5,757.9191176470588,68.0,2.0,51.0,17.0,19828.09,-22.84,"[4.8610263 2.1652963 0.7664356 0.8517462 5.434514  3.2839293 6.464739
 2.175563  6.4297996 2.332921  4.3773427 3.3795834 0.4257632 3.5404878
 2.9588656 3.3110921]",1,[   23  5486 13293  3955  2261]
SYNCID0000000026,CA,0,other,9211,1.0,156751.0,2021-08-01,2022-03-08,"Restaurants, Licensed",44378.54,268.9608484848485,165.0,3.0,161.0,2.0,6569.72,0.0,"[1.1847678 7.2413583 3.267996  2.9656088 6.9348307 3.7313857 5.2264266
 1.0991353 1.4301692 3.2310963 2.7805595 4.348498  1.134496  4.242355
 2.0610194 1.4742024]",1,[   24  5971 14725 13993   509]
SYNCID0000000027,CA,ON,MISSISSAUGA,5622,1.0,0.0,2020-07-28,2020-10-11,"Plumbing, Heating and Air Conditioning Equipment and Supplies, Wholesale",312.11,156.055,2.0,1.0,2.0,0.0,156.48,155.63,"[1.8309822 2.22713   4.1751366 2.1559994 2.4634519 1.9591063 0.2816589
 3.09702   6.6628137 6.4306073 3.0291026 3.9021044 2.357924  2.0172586
 4.275056  3.1333706]",1,[  25 7559 4624 7187 1967]
SYNCID0000000029,CA,ON,GODERICH,9712,1.0,111702.0,2017-09-19,0,Beauty Shops,16572.15,394.57500000000005,42.0,4.0,30.0,6.0,4300.27,0.0,"[0.3026979 3.8870728 4.335329  3.6656306 4.2876377 2.2143488 5.882066
 2.2533698 5.4597173 1.5181189 2.7803118 3.5052285 5.591204  2.5416002
 3.3984385 3.727269 ]",1,[  26 5082 5312   84 9776]
SYNCID0000000031,CA,ON,ETOBICOKE,7771,3.0,0.0,2021-09-10,2021-10-08,Management Consulting Services,149.3,74.65,2.0,1.0,2.0,0.0,96.62,52.68,"[3.8663907  3.7649767  5.563014   2.4475436  3.106853   3.232603
 0.21455657 1.600786   6.5134516  4.7959313  4.1357045  1.822331
 2.3134744  1.5098642  2.3303576  1.0773414 ]",1,[   27  6043   538 12639  6565]
SYNCID0000000032,CA,ON,TRENTON,4274,1.0,60171.0,2011-10-20,2011-12-26,Finish Carpentry,64242.01,360.91016853932587,178.0,1.0,174.0,4.0,22377.54,-61.96,"[3.9878736 4.234888  3.1811507 1.9081225 2.0737681 2.9656925 1.7834018
 2.085301  4.2073236 4.108292  3.7991405 3.4198387 2.0255318 3.250022
 2.3164916 3.823097 ]",1,[   28  4470 10524  5876  3542]
SYNCID0000000033,CA,ON,TORONTO,7722,1.0,0.0,0,2017-09-05,Computer Equipment Maintenance and Repair,61929.13,322.5475520833333,192.0,2.0,174.0,3.0,4923.06,-204.33,"[2.4357343  5.176299   6.1482067  2.0422406  0.97516394 3.0809655
 1.9718616  3.186597   5.857654   4.938637   3.5318224  5.050809
 4.4085336  3.8337197  1.3478618  4.575017  ]",1,[   29  1888  1537  1220 16156]
SYNCID0000000034,CA,ON,LONDON,0911,0.0,120311.0,2010-09-13,2012-04-17,0,27231.75,664.189024390244,41.0,5.0,34.0,4.0,6876.76,0.0,"[0.9772178 2.4355168 3.1902897 1.9914727 1.890377  6.6232157 3.2907128
 4.3605404 2.3303666 1.6827896 1.1904317 8.365467  5.387797  5.587215
 2.7526689 4.561076 ]",1,[  30 6383 1557 9262 4129]
SYNCID0000000035,CA,ON,0,9631,1.0,0.0,0,2021-04-19,Entertainment Production Companies and Artists,27463.76,3051.5288888888886,9.0,3.0,3.0,4.0,8306.06,41.31,"[3.657588   1.3369857  3.175009   2.9153395  2.0230677  3.1152444
 2.1206374  4.3621454  5.0480914  5.5584626  0.62942696 5.5146046
 4.2220664  4.3033643  2.7504783  2.3093238 ]",1,[   31  1539 14626  1679  3687]
SYNCID0000000036,CA,0,other,9949,1.0,0.0,2023-09-02,2023-10-28,Other Repair Services n.e.c.,1135896.04,2890.3207124681935,393.0,2.0,214.0,179.0,262342.21,-102.54,"[5.188513  9.595342  2.8718486 2.7979121 5.7677736 2.9742942 3.8613367
 4.359977  1.8600184 0.0531565 2.451488  5.0845222 1.2097837 4.381571
 3.5526705 3.6039393]",1,[  32 6370 5101 9560 8224]
SYNCID0000000037,CA,ON,SCARBOROUGH,7752,4.0,0.0,2023-12-31,2024-01-01,Offices of Engineers,97392.47,2864.484411764706,34.0,2.0,16.0,16.0,21316.19,4.16,"[1.0348114  2.435456   3.1029794  2.9988818  3.474786   1.3850888
 1.5859057  0.6543062  4.8821707  4.249963   0.65368825 5.8045726
 3.9053624  3.6631546  3.8565502  3.5486388 ]",1,[   33  7665 15527  7502  6812]
SYNCID0000000038,CA,AB,EDMONTON,8652,0.0,0.0,2019-06-16,2019-08-07,"Offices of Physicians and Surgeons, Specialists",210942.41999999998,1387.7790789473684,152.0,6.0,106.0,5.0,67268.48,-71.46,"[3.1836998 2.869574  1.9505366 0.        5.3168144 4.358728  8.2459135
 6.1265182 4.4495335 1.8816135 4.5191727 5.074552  2.4755678 0.7231789
 2.7947173 2.8296065]",1,[   34 15145  2910  6802 11044]
SYNCID0000000039,CA,ON,MARKHAM,7215,0.0,135350.0,2008-04-29,0,Holding Companies,124021.4,2531.0489795918365,49.0,1.0,40.0,9.0,35386.72,2.06,"[3.3790233  4.2298365  2.118838   0.99815285 5.671319   0.9729954
 2.061333   4.347419   7.620021   7.2283754  0.7643125  4.773262
 1.6011643  2.7750072  1.6387157  3.7435467 ]",1,[   35 10816  2858   204 10390]
SYNCID0000000040,CA,PE,STRATFORD,4013,0.0,0.0,2020-12-19,2020-12-22,Residential Renovation,454398.82,2195.163381642512,207.0,4.0,113.0,53.0,65254.4,0.0,"[6.6172037  1.5385066  2.0977473  4.4134364  3.4984007  0.1370498
 3.8451624  3.0014777  2.6149778  1.5785887  4.6249795  3.0254025
 5.561259   3.4495459  1.2553308  0.10156643]",1,[   36 15469  5216 10856  5791]
SYNCID0000000041,CA,QC,MONTREAL,other,1.0,3167.0,2009-05-17,2009-06-29,0,12377.68,149.12867469879518,83.0,1.0,82.0,1.0,1898.76,-345.37,"[3.22541   5.4645653 4.899374  4.6373563 0.        5.859037  6.628533
 2.483626  4.272498  4.8138156 2.0832102 2.5503902 2.3410695 8.043157
 2.7365289 4.536529 ]",1,[   37 10214 14008 15039  3357]
SYNCID0000000042,CA,ON,COLLINGWOOD,1099,0.0,0.0,2018-01-03,2018-02-17,Other Food Products Industries n.e.c.,7844.28,1120.6114285714286,7.0,1.0,3.0,4.0,3714.79,88.64,"[2.2586775 3.552072  3.2074163 2.024451  3.075904  3.2550879 1.3957095
 2.637679  5.360129  4.0574594 2.6626322 3.2221203 2.5439308 4.269168
 3.5361652 2.979984 ]",1,[   38   162  4962   773 11790]
SYNCID0000000043,CA,ON,OTTAWA,7215,1.0,0.0,2013-11-20,2013-12-12,Holding Companies,1108394.93,3541.19785942492,313.0,1.0,135.0,178.0,112955.01,1.74,"[5.958235   7.2468796  5.7500095  2.158235   6.4617205  0.
 1.4290836  4.3391447  5.78591    2.3042676  0.45194495 3.581259
 3.8520877  2.083222   5.891837   4.4597073 ]",1,[   39  6892  5527 12294  9556]
SYNCID0000000044,CA,ON,GUELPH,other,6.0,1244589.0,2002-09-23,2003-02-11,0,75709.44,5823.803076923077,13.0,4.0,5.0,3.0,38903.55,16.36,"[0.         2.610806   5.052886   1.7183042  0.7778893  6.1949377
 3.7110224  2.761542   3.3278008  3.4758925  0.63274086 6.7872925
 2.5213897  3.6257968  4.790365   3.0598047 ]",1,[   40 13179 13519 12155 15576]
SYNCID0000000045,CA,ON,SARNIA,4561,1.0,0.0,2018-01-11,2019-11-01,General Freight Trucking Industry,7783.08,1945.77,4.0,1.0,3.0,1.0,6823.17,25.63,"[1.588826  4.618943  1.4575601 4.0290895 2.6958961 3.7503552 0.9649408
 4.044305  5.6982393 4.374308  3.6569467 2.9578066 2.325447  2.1037836
 2.1652608 3.7446282]",1,[   41 15619  3202  5478 13469]
SYNCID0000000046,CA,0,other,4561,7.0,419221.0,2021-07-18,2022-07-31,General Freight Trucking Industry,138261.34,772.409720670391,179.0,3.0,31.0,10.0,8370.16,8.95,"[2.3720179e+00 8.3680611e+00 7.1566105e-03 3.5523007e+00 6.2122974e+00
 5.7881875e+00 4.0837026e+00 3.1722913e+00 2.2874551e+00 2.6050007e+00
 3.2812474e+00 4.8221073e+00 2.1541793e+00 1.3647795e+00 2.0275283e+00
 3.0766819e+00]",1,[   42 12220 12530  7831  1438]
SYNCID0000000047,CA,0,other,8611,1.0,298649.0,2001-05-13,2000-01-16,General Hospitals,2117697.99,5500.51425974026,385.0,3.0,166.0,215.0,688236.05,2.14,"[5.9464912 9.095657  3.8248336 3.0535614 6.8602457 3.6134958 3.9824347
 5.1981325 2.2746482 0.        1.3075554 6.2179112 1.2887841 4.336447
 3.2489104 2.6371095]",1,[  43   82 3426 6370 5449]
SYNCID0000000048,CA,BC,MACKENZIE,7215,0.0,0.0,1997-12-28,0,Holding Companies,654729.37,15226.264418604651,43.0,1.0,25.0,18.0,342315.47,2.14,"[7.347875  3.245025  1.859949  1.9283149 5.2995863 3.4596658 1.989159
 4.230255  4.244678  4.537865  0.6934104 0.6141796 3.9756136 2.1787624
 4.667101  4.120273 ]",1,[   44  7581 12281  8031  5864]
SYNCID0000000050,CA,QC,MONTREAL,7611,0.0,0.0,2012-03-19,2014-04-08,Insurance and Real Estate Agencies,97004.81,2552.758157894737,38.0,2.0,16.0,22.0,17755.76,24.71,"[5.2717037  3.811142   5.4854145  5.5913086  1.6658075  5.9614677
 5.3001657  0.53402007 5.237991   2.1183796  3.1648345  3.922758
 3.8975284  7.402141   1.4415016  2.7296448 ]",1,[   45  8903 10771 15155  1716]
SYNCID0000000051,CA,ON,WATERLOO,4013,3.0,117153.0,2014-01-29,2014-05-03,Residential Renovation,12095.72,525.9008695652174,23.0,4.0,11.0,6.0,5891.33,2.07,"[3.641452  2.7998228 3.3190122 3.1577618 3.2886937 2.7006102 2.735393
 1.350221  5.221946  2.836321  3.330939  5.299036  5.9743495 2.603591
 1.7260257 0.1743766]",1,[  46 3014 5233 6816 2876]
SYNCID0000000052,CA,ON,SCARBOROUGH,3999,4.0,0.0,1991-01-08,2011-12-31,Other Manufactured Products Industries n.e.c.,270411.25,2198.4654471544713,123.0,4.0,83.0,38.0,87372.47,0.0,"[1.3912225 3.0373497 4.390779  2.7669575 3.4975448 1.2987622 3.0688734
 2.0416803 4.2871323 3.5343037 1.0015143 7.120438  5.1815104 2.683835
 3.1966782 3.3476777]",1,[   47  8188  6235 12732  6842]
SYNCID0000000053,CA,0,other,9141,1.0,139384.0,2021-02-12,2022-08-02,Outfitters (Hunting and Fishing Camps),27666.04,406.8535294117647,68.0,3.0,62.0,4.0,11161.0,-427.87,"[2.6377406 6.54331   1.7523628 1.8459544 6.5481358 5.4519486 3.7547717
 2.0586743 1.3415672 2.4218912 2.7439616 4.2220945 2.524988  4.0250435
 2.4872985 2.0723438]",1,[   48  7549 15059 13163  5600]
SYNCID0000000054,CA,ON,THORNHILL,9953,5.0,732400.0,0,2017-04-28,Janitorial Services,2127.6299999999997,1063.8149999999998,2.0,1.0,2.0,0.0,2098.14,29.49,"[1.9871233  3.1785765  2.780305   2.0264585  2.1912568  3.8971367
 0.23531413 1.0264373  5.5584583  3.8896532  1.3448026  3.9014354
 2.4656706  2.8973124  2.9377632  2.4034386 ]",1,[   49  3730 12992   394  4474]
SYNCID0000000055,CA,AB,AIRDRIE,other,0.0,0.0,0,2014-12-12,0,135584.0,11298.666666666666,12.0,2.0,6.0,6.0,76719.9,2.12,"[2.6768937 1.6006244 0.6630964 1.4910955 3.1333127 5.2592564 4.8981886
 3.710574  6.1365604 3.377408  3.1620421 5.4105515 0.1668346 5.3187833
 3.574319  3.2586248]",1,[   50 13920  9319  5098 11375]
SYNCID0000000056,CA,AB,ROCKY MTN HOUSE,7721,1.0,965321.0,2001-12-29,2002-01-01,Computer Services,343875.12,4710.618082191781,73.0,4.0,59.0,12.0,236958.58,0.0,"[6.209487   0.         3.4643323  0.69582397 3.2488408  3.4334698
 7.0662904  1.9047551  6.5976963  2.224869   3.7635145  4.150056
 3.976747   3.905458   2.3357463  2.0965433 ]",1,[  51 2759 2783 7395 7878]
SYNCID0000000057,CA,ON,OTTAWA,9631,0.0,0.0,2009-06-07,2008-05-22,Entertainment Production Companies and Artists,127644.0,1005.0708661417323,127.0,4.0,102.0,21.0,19379.33,0.0,"[2.155861  3.4506574 6.687623  1.410486  5.7300034 2.296704  2.3785787
 2.9216337 3.016429  2.6490283 1.8775555 4.4668956 4.905168  1.5528319
 5.121311  3.4764564]",1,[  52 4251  105 8488 7942]
SYNCID0000000058,CA,0,other,0311,0.0,0.0,0,2020-10-10,0,145189.94,1015.3142657342657,143.0,3.0,136.0,7.0,86907.23,0.0,"[1.5655217 6.289845  2.4414713 1.9743223 5.621278  6.2024846 4.99117
 2.816968  0.6980089 2.2545497 2.5511327 5.849048  1.3127298 5.242244
 3.402172  4.7569237]",1,[  53 1643 7702 1970  520]
SYNCID0000000059,CA,AB,ROCKY VIEW COUNTY,7511,0.0,0.0,2010-06-20,2016-08-27,Operators of Residential Buildings and Dwellings,31640.38,1757.798888888889,18.0,3.0,11.0,7.0,14805.85,3.39,"[4.0847716 3.121923  1.8486321 1.1915995 4.773328  3.5764294 3.8122644
 5.328001  5.253318  4.050719  4.434284  1.9090259 2.492028  5.7677197
 1.1806285 0.       ]",1,[   54 15982  6919 14868 13026]
SYNCID0000000060,CA,QC,BOUCHERVILLE,other,2.0,0.0,2004-01-28,2004-04-11,0,129905.94,371.1598285714286,350.0,5.0,333.0,16.0,14579.3,-219.42,"[5.343661   4.588625   4.4273453  2.4002519  0.         5.378321
 6.866253   3.83009    0.87787116 2.5163012  3.603497   5.629565
 5.774482   4.160164   1.4502945  5.7443504 ]",1,[  55 4096 1692 1798 1204]
SYNCID0000000061,CA,AB,other,9659,1.0,0.0,2019-09-06,2019-10-21,Other Sports and Recreation Clubs,35072.4,1948.4666666666667,18.0,4.0,5.0,11.0,8357.69,35.88,"[3.2871184  3.8508873  0.58313155 2.5694711  5.185521   5.3183074
 6.046517   3.1777282  3.8564825  1.7993534  3.387492   4.4925184
 2.1062095  3.581059   1.380776   1.3833281 ]",1,[   56  7431  2427  5340 10694]
SYNCID0000000062,CA,BC,BURNABY,4569,1.0,279426.0,0,2013-11-27,Other Truck Transport Industries,480900.24999999994,6412.003333333332,75.0,5.0,65.0,7.0,450486.23,0.0,"[6.363283   0.12533712 3.4240282  1.8233888  5.0610266  5.6981444
 3.5415063  4.830083   1.681648   0.28845912 4.262981   3.7085009
 3.2718575  0.         5.815947   2.7789037 ]",1,[   57  1095  5652  5393 12460]
SYNCID0000000063,CA,BC,DUNCAN,other,0.0,0.0,1964-06-05,2016-12-07,0,337157.43,4111.675975609756,82.0,6.0,6.0,1.0,262017.1,2.14,"[3.0412216 0.        3.8678458 2.0804195 3.0328317 5.909908  5.411948
 5.0796223 1.3374444 1.2835479 2.1102934 5.4759617 4.8027225 2.44505
 5.8272324 3.8178878]",1,[   58 12852  9039  1927  2273]
SYNCID0000000064,CA,ON,0,6593,1.0,261476.0,2008-06-23,2011-02-20,Art Galleries and Artists' Supply Stores,72363.91,695.806826923077,104.0,4.0,88.0,13.0,22174.18,-85.57,"[4.1408596 1.3622482 3.716769  2.4687293 1.8742354 2.565689  2.9737988
 4.579067  4.2824316 4.9617467 1.521389  6.502677  4.238716  3.661139
 2.530078  2.4375238]",1,[  59 6023 2260 7182 7068]
SYNCID0000000065,CA,ON,WASAGA BEACH,6121,6.0,0.0,2020-10-21,2020-12-15,Men's Clothing Stores,100301.99,1139.795340909091,88.0,4.0,72.0,16.0,28764.75,0.0,"[2.8751411 3.305254  3.8911328 2.8333442 2.9925797 3.6209455 3.5884118
 2.378696  4.3768606 3.4971452 2.1223536 5.648501  4.3226347 1.2711922
 2.6472492 2.9139087]",1,[   60  3366  9672 10706  6475]
SYNCID0000000066,CA,ON,LONDON,0229,0.0,247659.0,2013-06-08,0,0,66026.57,515.832578125,128.0,3.0,118.0,10.0,19511.33,-230.22,"[1.941749  3.6648078 3.0843    1.5883605 1.1722724 5.991138  2.2813241
 3.5856106 2.5077696 2.534698  1.8848126 7.70765   4.3426757 6.277091
 3.076159  5.780925 ]",1,[   61  6352 11617 13639 13318]
SYNCID0000000067,CA,ON,OTTAWA,6231,6.0,734149.0,0,2006-12-22,Floor Covering Stores,456163.01,3281.748273381295,139.0,5.0,74.0,28.0,79672.64,-303.6,"[2.6563616 4.0085444 6.5611534 1.7040855 5.2361565 2.7727683 3.6657019
 2.171802  3.2226636 2.6360936 1.2199948 6.2222357 5.5630803 0.6382412
 5.553409  2.4855812]",1,[   62 15339 11616  3343  6180]
SYNCID0000000068,CA,0,other,4013,1.0,0.0,2020-03-15,2020-06-20,Residential Renovation,169963.79,1517.5338392857143,112.0,5.0,84.0,13.0,57152.47,0.0,"[4.0315633  6.320859   1.8737423  2.7105482  7.6279497  4.210157
 4.673607   1.3902607  1.2797397  1.2846199  3.5590482  5.6500206
 5.3784537  3.4262133  1.203845   0.19206834]",1,[   63  9898 10656  9498  8142]
SYNCID0000000069,CA,NL,ST. JOHN'S,9112,15.0,165941.0,2015-08-14,2015-11-23,Motels,7423.53,571.0407692307692,13.0,3.0,4.0,1.0,1729.98,14.74,"[3.3526893  2.6313434  0.90169436 5.0808043  0.24574018 6.451161
 3.2790833  0.         2.257566   5.408171   2.1691036  5.150481
 4.035478   1.3463835  3.9055924  1.8492162 ]",1,[  64 1894 5064 7224 5573]
