cheque_id,customer_id,amount_cad,debit_credit,transaction_date
CHE00000000000000141,SYNCID0000000011,837.59,debit,2023-01-23
CHE00000000000000142,SYNCID0000000011,3966.56,debit,2022-11-02
CHE00000000000000143,SYNCID0000000011,5196.41,debit,2022-12-28
CHE00000000000000144,SYNCID0000000011,169.27,credit,2023-01-20
CHE00000000000000145,SYNCID0000000011,2795.67,debit,2023-01-06
CHE00000000000000146,SYNCID0000000011,193.75,debit,2022-11-23
CHE00000000000000147,SYNCID0000000011,308.45,debit,2022-11-25
CHE00000000000000148,SYNCID0000000011,694.74,debit,2022-12-12
CHE00000000000000149,SYNCID0000000011,684.62,debit,2023-01-31
CHE00000000000000150,SYNCID0000000011,699.83,debit,2022-11-30
CHE00000000000000151,SYNCID0000000011,147.54,debit,2023-01-06
CHE00000000000000152,SYNCID0000000011,4989.61,credit,2022-12-23
CHE00000000000000153,SYNCID0000000011,542.06,debit,2023-01-04
CHE00000000000000154,SYNCID0000000011,7456.73,debit,2022-12-01
CHE00000000000000155,SYNCID0000000011,2078.32,debit,2022-12-28
CHE00000000000000156,SYNCID0000000011,1202.42,debit,2023-01-03
CHE00000000000000157,SYNCID0000000011,240.41,debit,2022-11-04
CHE00000000000000158,SYNCID0000000011,1150.27,debit,2022-12-20
CHE00000000000000159,SYNCID0000000011,11087.97,debit,2022-11-21
CHE00000000000000160,SYNCID0000000011,352.53,debit,2022-12-07
CHE00000000000000161,SYNCID0000000011,324.2,debit,2022-11-01
CHE00000000000000162,SYNCID0000000011,41.87,credit,2022-12-29
CHE00000000000000163,SYNCID0000000011,838.98,debit,2022-12-05
CHE00000000000000164,SYNCID0000000011,2140.54,debit,2022-11-29
CHE00000000000000165,SYNCID0000000011,865.05,debit,2022-11-18
CHE00000000000000166,SYNCID0000000011,1232.45,credit,2022-12-05
CHE00000000000000167,SYNCID0000000011,215.1,credit,2022-11-07
CHE00000000000000168,SYNCID0000000011,28.13,credit,2022-12-20
CHE00000000000000169,SYNCID0000000011,18174.99,debit,2022-11-21
CHE00000000000000170,SYNCID0000000011,3794.94,debit,2023-01-12
CHE00000000000000171,SYNCID0000000011,773.79,debit,2023-01-11
CHE00000000000000172,SYNCID0000000011,81.6,debit,2022-12-30
CHE00000000000000173,SYNCID0000000011,5665.01,credit,2022-12-19
CHE00000000000000174,SYNCID0000000011,283.76,debit,2022-12-21
CHE00000000000000175,SYNCID0000000011,14119.91,debit,2022-12-21
CHE00000000000000176,SYNCID0000000011,88.36,debit,2022-11-10
CHE00000000000000177,SYNCID0000000011,686.27,debit,2022-12-13
CHE00000000000000178,SYNCID0000000011,3965.81,debit,2022-12-13
CHE00000000000000179,SYNCID0000000011,540.73,credit,2023-01-30
CHE00000000000000180,SYNCID0000000011,2185.56,debit,2022-11-15
CHE00000000000000181,SYNCID0000000011,1640.37,debit,2023-01-10
CHE00000000000000182,SYNCID0000000011,442.24,debit,2023-01-19
CHE00000000000000183,SYNCID0000000011,1633.21,credit,2022-11-01
CHE00000000000000184,SYNCID0000000011,2464.9,debit,2022-12-21
CHE00000000000000185,SYNCID0000000011,4758.06,debit,2022-12-01
CHE00000000000000186,SYNCID0000000011,1079.25,debit,2022-11-08
CHE00000000000000187,SYNCID0000000011,6527.62,credit,2022-11-14
CHE00000000000000188,SYNCID0000000011,4687.78,debit,2022-12-15
CHE00000000000000189,SYNCID0000000011,3035.63,debit,2023-01-05
CHE00000000000000190,SYNCID0000000011,463.66,credit,2023-01-09
CHE00000000000000191,SYNCID0000000011,6165.34,debit,2023-01-18
CHE00000000000000192,SYNCID0000000011,409.72,debit,2022-12-07
CHE00000000000000193,SYNCID0000000011,2127.62,debit,2022-12-20
CHE00000000000000194,SYNCID0000000011,4905.05,debit,2023-01-24
CHE00000000000000195,SYNCID0000000011,2679.69,debit,2022-12-28
CHE00000000000000196,SYNCID0000000011,5160.65,debit,2022-11-18
CHE00000000000000197,SYNCID0000000011,31.23,credit,2022-11-17
CHE00000000000000198,SYNCID0000000011,677.77,debit,2023-01-09
CHE00000000000000199,SYNCID0000000011,212.5,debit,2022-12-09
CHE00000000000000200,SYNCID0000000011,889.18,debit,2022-12-28
CHE00000000000000201,SYNCID0000000011,85465.95,debit,2023-01-12
CHE00000000000000202,SYNCID0000000011,5171.21,debit,2022-12-28
CHE00000000000000203,SYNCID0000000011,477.94,debit,2022-11-14
CHE00000000000000204,SYNCID0000000011,2354.95,debit,2022-12-19
CHE00000000000000205,SYNCID0000000011,10276.65,debit,2022-11-18
CHE00000000000000206,SYNCID0000000011,963.93,debit,2023-01-05
CHE00000000000000207,SYNCID0000000011,3929.53,debit,2023-01-16
CHE00000000000000208,SYNCID0000000011,707.43,debit,2022-12-09
CHE00000000000000209,SYNCID0000000011,908.81,debit,2023-01-10
CHE00000000000000210,SYNCID0000000011,1599.99,debit,2022-12-06
CHE00000000000000211,SYNCID0000000011,1001.88,debit,2022-11-03
CHE00000000000000212,SYNCID0000000011,526.28,debit,2023-01-04
CHE00000000000000213,SYNCID0000000011,309.2,debit,2022-12-14
CHE00000000000000214,SYNCID0000000011,3020.86,debit,2022-11-14
CHE00000000000000215,SYNCID0000000011,241.49,debit,2023-01-09
CHE00000000000000216,SYNCID0000000011,800.36,debit,2022-11-02
CHE00000000000000217,SYNCID0000000011,400.72,debit,2022-11-28
CHE00000000000000218,SYNCID0000000011,11548.01,credit,2022-12-07
CHE00000000000000219,SYNCID0000000011,8741.03,debit,2023-01-11
CHE00000000000000220,SYNCID0000000011,2892.88,debit,2023-01-26
CHE00000000000000221,SYNCID0000000011,688.57,debit,2023-01-04
CHE00000000000000222,SYNCID0000000011,144.71,debit,2023-01-12
CHE00000000000000223,SYNCID0000000011,1921.95,debit,2022-12-19
CHE00000000000000224,SYNCID0000000011,1713.69,debit,2022-12-22
CHE00000000000000225,SYNCID0000000011,238.09,debit,2022-11-25
CHE00000000000000226,SYNCID0000000011,1015.01,debit,2022-12-23
CHE00000000000000227,SYNCID0000000011,612.73,debit,2023-01-03
CHE00000000000000228,SYNCID0000000011,1357.03,debit,2022-12-23
CHE00000000000000229,SYNCID0000000013,2160.7,credit,2023-01-05
CHE00000000000000230,SYNCID0000000013,86409.16,credit,2023-01-13
CHE00000000000000231,SYNCID0000000013,174.16,credit,2022-11-02
CHE00000000000000232,SYNCID0000000013,4036.48,debit,2022-12-23
CHE00000000000000233,SYNCID0000000013,522244.13,debit,2023-01-24
CHE00000000000000234,SYNCID0000000013,538.81,credit,2022-12-15
CHE00000000000000235,SYNCID0000000013,126.17,debit,2022-11-07
CHE00000000000000236,SYNCID0000000013,525.74,debit,2023-01-23
CHE00000000000000237,SYNCID0000000013,1958.92,debit,2022-12-23
CHE00000000000000238,SYNCID0000000013,190.25,debit,2023-01-23
CHE00000000000000239,SYNCID0000000013,262.66,debit,2023-01-04
CHE00000000000000240,SYNCID0000000013,2676.59,debit,2022-11-15
CHE00000000000000241,SYNCID0000000013,2809.52,debit,2023-01-03
CHE00000000000000242,SYNCID0000000013,630.06,credit,2022-12-01
CHE00000000000000243,SYNCID0000000013,1612.23,debit,2023-01-09
CHE00000000000000244,SYNCID0000000013,6273.48,credit,2022-12-15
CHE00000000000000245,SYNCID0000000013,220.57,debit,2023-01-23
CHE00000000000000246,SYNCID0000000013,1034.64,debit,2023-01-09
CHE00000000000000247,SYNCID0000000013,13661.56,debit,2022-11-02
CHE00000000000000248,SYNCID0000000013,64.53,debit,2022-12-16
CHE00000000000000249,SYNCID0000000013,590.87,credit,2023-01-31
CHE00000000000000250,SYNCID0000000013,6689.4,credit,2023-01-06
CHE00000000000000251,SYNCID0000000013,514.14,debit,2023-01-05
CHE00000000000000252,SYNCID0000000013,51785.9,debit,2022-11-17
CHE00000000000000253,SYNCID0000000013,2671.17,debit,2022-11-29
CHE00000000000000254,SYNCID0000000013,1721280.34,credit,2022-11-30
CHE00000000000000255,SYNCID0000000013,77.41,credit,2022-12-01
CHE00000000000000256,SYNCID0000000013,3884.48,debit,2022-12-19
CHE00000000000000257,SYNCID0000000013,3668.31,debit,2022-11-14
CHE00000000000000258,SYNCID0000000013,6182.85,debit,2022-11-02
CHE00000000000000259,SYNCID0000000016,17.19,debit,2022-11-21
CHE00000000000000260,SYNCID0000000016,45.6,credit,2022-11-29
CHE00000000000000261,SYNCID0000000017,1196.22,debit,2023-01-05
CHE00000000000000262,SYNCID0000000017,16323.85,debit,2023-01-11
CHE00000000000000263,SYNCID0000000019,2111.28,debit,2022-12-28
CHE00000000000000264,SYNCID0000000019,2099.37,debit,2022-12-01
CHE00000000000000265,SYNCID0000000019,183.62,credit,2022-12-23
CHE00000000000000266,SYNCID0000000019,249.13,credit,2022-11-04
CHE00000000000000267,SYNCID0000000019,105.34,credit,2022-12-07
CHE00000000000000268,SYNCID0000000019,197.89,credit,2022-12-05
CHE00000000000000269,SYNCID0000000019,1911.27,debit,2023-01-03
CHE00000000000000270,SYNCID0000000019,666.97,debit,2022-12-14
CHE00000000000000271,SYNCID0000000019,1795.44,credit,2022-11-04
CHE00000000000000272,SYNCID0000000019,2049.25,debit,2022-12-12
CHE00000000000000273,SYNCID0000000019,2749.75,debit,2022-12-30
CHE00000000000000274,SYNCID0000000019,319.01,credit,2023-01-25
CHE00000000000000275,SYNCID0000000019,843.7,debit,2022-11-29
CHE00000000000000276,SYNCID0000000019,5478.3,debit,2022-11-01
CHE00000000000000277,SYNCID0000000019,670.97,debit,2022-12-08
CHE00000000000000278,SYNCID0000000019,292.54,debit,2023-01-23
CHE00000000000000279,SYNCID0000000019,3087.7,debit,2022-12-09
CHE00000000000000280,SYNCID0000000019,209.74,debit,2022-12-22
CHE00000000000000281,SYNCID0000000019,655.68,debit,2022-11-14
CHE00000000000000282,SYNCID0000000019,471.23,debit,2022-11-01
CHE00000000000000283,SYNCID0000000019,156.83,debit,2022-11-21
CHE00000000000000284,SYNCID0000000019,18458.7,credit,2022-11-28
CHE00000000000000285,SYNCID0000000019,925.03,debit,2022-11-30
CHE00000000000000286,SYNCID0000000019,1303.39,credit,2023-01-06
CHE00000000000000287,SYNCID0000000019,734.57,debit,2022-11-03
CHE00000000000000288,SYNCID0000000019,24266.64,debit,2023-01-31
CHE00000000000000289,SYNCID0000000019,1281.36,debit,2022-11-15
CHE00000000000000290,SYNCID0000000019,709.16,debit,2022-11-04
CHE00000000000000291,SYNCID0000000019,542.48,debit,2022-12-14
CHE00000000000000292,SYNCID0000000019,1039.6,credit,2022-11-10
CHE00000000000000293,SYNCID0000000019,15619.28,credit,2022-11-15
CHE00000000000000294,SYNCID0000000019,799.52,debit,2022-12-01
CHE00000000000000295,SYNCID0000000019,1813.58,debit,2022-11-25
CHE00000000000000296,SYNCID0000000019,72.28,credit,2022-12-05
CHE00000000000000297,SYNCID0000000019,227.25,debit,2022-12-01
CHE00000000000000298,SYNCID0000000019,3300.62,credit,2022-11-21
CHE00000000000000299,SYNCID0000000019,539.8,credit,2022-12-28
CHE00000000000000300,SYNCID0000000019,893.83,debit,2022-11-30
CHE00000000000000301,SYNCID0000000019,7930.0,debit,2022-11-18
CHE00000000000000302,SYNCID0000000019,8867.91,debit,2023-01-23
CHE00000000000000303,SYNCID0000000019,2689.59,debit,2022-12-20
CHE00000000000000304,SYNCID0000000019,1602.75,debit,2022-11-10
CHE00000000000000305,SYNCID0000000019,600016.68,credit,2023-01-01
CHE00000000000000306,SYNCID0000000019,773.76,debit,2023-01-10
CHE00000000000000307,SYNCID0000000019,209.26,debit,2022-11-29
CHE00000000000000308,SYNCID0000000019,210.34,debit,2022-11-15
CHE00000000000000309,SYNCID0000000019,517.25,debit,2022-11-24
CHE00000000000000310,SYNCID0000000019,4185.67,debit,2022-12-15
CHE00000000000000311,SYNCID0000000019,595.27,debit,2022-12-08
CHE00000000000000312,SYNCID0000000019,531.83,debit,2022-12-13
CHE00000000000000313,SYNCID0000000019,2407.33,credit,2022-12-12
CHE00000000000000314,SYNCID0000000019,170.99,debit,2023-01-03
CHE00000000000000315,SYNCID0000000019,746.87,credit,2022-11-02
CHE00000000000000316,SYNCID0000000019,791.88,debit,2023-01-06
CHE00000000000000317,SYNCID0000000019,536.56,debit,2022-11-14
CHE00000000000000318,SYNCID0000000019,52.75,credit,2022-12-28
CHE00000000000000319,SYNCID0000000019,338.12,credit,2022-12-06
CHE00000000000000320,SYNCID0000000019,9160.76,credit,2023-01-03
CHE00000000000000321,SYNCID0000000019,240.82,debit,2023-01-03
CHE00000000000000322,SYNCID0000000019,581.41,debit,2022-12-21
CHE00000000000000323,SYNCID0000000019,239.28,debit,2023-01-23
CHE00000000000000324,SYNCID0000000019,4495.19,debit,2022-12-29
CHE00000000000000325,SYNCID0000000019,2726.37,debit,2022-11-10
CHE00000000000000326,SYNCID0000000019,4534.52,credit,2022-12-19
CHE00000000000000327,SYNCID0000000019,2861.06,debit,2022-12-30
CHE00000000000000328,SYNCID0000000019,4098.99,debit,2022-12-12
CHE00000000000000329,SYNCID0000000019,2793.79,credit,2022-12-16
CHE00000000000000330,SYNCID0000000019,1534.34,credit,2022-11-06
CHE00000000000000331,SYNCID0000000019,651.57,debit,2022-12-16
CHE00000000000000332,SYNCID0000000019,216.92,debit,2023-01-30
CHE00000000000000333,SYNCID0000000019,813.47,debit,2022-11-14
CHE00000000000000334,SYNCID0000000019,45.68,debit,2022-12-21
CHE00000000000000335,SYNCID0000000019,1174.0,credit,2022-11-16
CHE00000000000000336,SYNCID0000000019,3736.79,credit,2023-01-03
CHE00000000000000337,SYNCID0000000019,27574.12,credit,2022-11-23
CHE00000000000000338,SYNCID0000000019,3966.3,debit,2022-12-17
CHE00000000000000339,SYNCID0000000019,269.0,debit,2023-01-05
CHE00000000000000340,SYNCID0000000019,72.78,debit,2023-01-03
CHE00000000000000341,SYNCID0000000019,350.72,debit,2022-12-13
CHE00000000000000342,SYNCID0000000019,660.71,credit,2022-12-13
CHE00000000000000343,SYNCID0000000019,309.0,debit,2022-12-01
CHE00000000000000344,SYNCID0000000019,2868.08,debit,2022-12-20
CHE00000000000000345,SYNCID0000000019,752.48,credit,2022-11-01
CHE00000000000000346,SYNCID0000000019,106.78,debit,2022-11-18
CHE00000000000000347,SYNCID0000000019,4643.72,debit,2023-01-05
CHE00000000000000348,SYNCID0000000019,5227.14,debit,2023-01-23
CHE00000000000000349,SYNCID0000000019,997.63,debit,2022-12-28
CHE00000000000000350,SYNCID0000000019,1348.35,debit,2022-11-01
CHE00000000000000351,SYNCID0000000019,84.98,debit,2023-01-31
CHE00000000000000353,SYNCID0000000021,48.3,credit,2023-01-23
CHE00000000000000354,SYNCID0000000021,1526.42,debit,2022-11-22
CHE00000000000000355,SYNCID0000000021,3918.23,debit,2023-01-03
CHE00000000000000356,SYNCID0000000021,104.24,debit,2022-12-12
CHE00000000000000357,SYNCID0000000021,8.98,credit,2023-01-03
CHE00000000000000358,SYNCID0000000021,77.35,credit,2022-12-02
CHE00000000000000359,SYNCID0000000022,149.31,credit,2022-12-08
CHE00000000000000360,SYNCID0000000022,25850.35,debit,2022-12-01
CHE00000000000000361,SYNCID0000000022,177.94,debit,2022-12-01
CHE00000000000000362,SYNCID0000000022,973.17,debit,2022-11-08
CHE00000000000000363,SYNCID0000000022,1168.57,debit,2023-01-23
CHE00000000000000364,SYNCID0000000022,63.64,debit,2023-01-09
CHE00000000000000365,SYNCID0000000022,420.93,debit,2022-11-24
CHE00000000000000366,SYNCID0000000022,1117.49,credit,2022-11-21
CHE00000000000000367,SYNCID0000000022,229.65,debit,2022-12-08
CHE00000000000000368,SYNCID0000000022,345.01,debit,2022-12-09
CHE00000000000000369,SYNCID0000000022,1540.59,credit,2022-11-14
CHE00000000000000370,SYNCID0000000022,448.71,credit,2022-11-02
CHE00000000000000371,SYNCID0000000024,540.07,credit,2022-11-24
CHE00000000000000372,SYNCID0000000024,105.28,debit,2022-12-22
CHE00000000000000373,SYNCID0000000024,977.53,debit,2022-12-16
CHE00000000000000374,SYNCID0000000024,460.28,debit,2022-11-17
CHE00000000000000375,SYNCID0000000024,777.39,credit,2022-11-24
CHE00000000000000376,SYNCID0000000024,626.54,debit,2022-12-13
CHE00000000000000377,SYNCID0000000024,138.35,debit,2022-11-04
CHE00000000000000378,SYNCID0000000024,384.8,debit,2022-11-15
CHE00000000000000379,SYNCID0000000026,6569.72,debit,2022-12-20
CHE00000000000000432,SYNCID0000000029,139.7,credit,2022-11-07
CHE00000000000000433,SYNCID0000000029,991.85,debit,2023-01-19
CHE00000000000000492,SYNCID0000000034,3870.62,debit,2022-11-29
CHE00000000000000493,SYNCID0000000034,487.71,debit,2022-11-14
CHE00000000000000494,SYNCID0000000035,822.35,credit,2023-01-26
CHE00000000000000495,SYNCID0000000035,7184.42,debit,2022-11-28
CHE00000000000000496,SYNCID0000000035,2399.98,debit,2023-01-13
CHE00000000000000497,SYNCID0000000035,7673.49,credit,2023-01-27
CHE00000000000000498,SYNCID0000000035,80.72,debit,2022-12-05
CHE00000000000000499,SYNCID0000000035,8306.06,credit,2023-01-24
CHE00000000000000500,SYNCID0000000038,26348.95,credit,2023-01-20
CHE00000000000000501,SYNCID0000000040,2988.95,debit,2022-12-19
CHE00000000000000502,SYNCID0000000040,1545.92,debit,2022-11-23
CHE00000000000000503,SYNCID0000000040,5321.42,debit,2023-01-04
CHE00000000000000504,SYNCID0000000040,4000.59,credit,2022-11-23
CHE00000000000000505,SYNCID0000000040,6896.0,debit,2023-01-05
CHE00000000000000506,SYNCID0000000040,3202.79,debit,2022-12-20
CHE00000000000000507,SYNCID0000000040,518.73,debit,2023-01-30
CHE00000000000000508,SYNCID0000000040,323.99,debit,2022-11-30
CHE00000000000000509,SYNCID0000000040,1792.77,credit,2022-12-01
CHE00000000000000510,SYNCID0000000040,7323.63,debit,2022-11-18
CHE00000000000000511,SYNCID0000000040,212.15,debit,2023-01-26
CHE00000000000000512,SYNCID0000000040,1800.37,debit,2022-11-01
CHE00000000000000513,SYNCID0000000040,41.76,credit,2023-01-31
CHE00000000000000514,SYNCID0000000040,65254.4,debit,2022-11-24
