customer_id,country,province,city,industry_code,employee_count,sales,established_date,onboard_date,industry,total_amount,avg_amount,transaction_count,unique_transaction_types,debit_count,credit_count,max_transaction,min_transaction,cluster,anomaly_score
SYNCID0000000025,CA,AB,EDMONTON,7752,0.0,0.0,2018-03-22,2022-12-17,Offices of Engineers,51538.5,757.9191176470588,68.0,2.0,51.0,17.0,19828.09,-22.84,3,1
SYNCID0000000026,CA,0,other,9211,1.0,156751.0,2021-08-01,2022-03-08,"Restaurants, Licensed",44378.54,268.9608484848485,165.0,3.0,161.0,2.0,6569.72,0.0,0,1
SYNCID0000000027,CA,ON,MISSISSAUGA,5622,1.0,0.0,2020-07-28,2020-10-11,"Plumbing, Heating and Air Conditioning Equipment and Supplies, Wholesale",312.11,156.055,2.0,1.0,2.0,0.0,156.48,155.63,3,1
SYNCID0000000029,CA,ON,GODERICH,9712,1.0,111702.0,2017-09-19,0,Beauty Shops,16572.15,394.57500000000005,42.0,4.0,30.0,6.0,4300.27,0.0,0,1
SYNCID0000000031,CA,ON,ETOBICOKE,7771,3.0,0.0,2021-09-10,2021-10-08,Management Consulting Services,149.3,74.65,2.0,1.0,2.0,0.0,96.62,52.68,3,1
SYNCID0000000032,CA,ON,TRENTON,4274,1.0,60171.0,2011-10-20,2011-12-26,Finish Carpentry,64242.01,360.91016853932587,178.0,1.0,174.0,4.0,22377.54,-61.96,3,1
SYNCID0000000033,CA,ON,TORONTO,7722,1.0,0.0,0,2017-09-05,Computer Equipment Maintenance and Repair,61929.13,322.5475520833333,192.0,2.0,174.0,3.0,4923.06,-204.33,3,1
SYNCID0000000034,CA,ON,LONDON,0911,0.0,120311.0,2010-09-13,2012-04-17,0,27231.75,664.189024390244,41.0,5.0,34.0,4.0,6876.76,0.0,0,1
SYNCID0000000035,CA,ON,0,9631,1.0,0.0,0,2021-04-19,Entertainment Production Companies and Artists,27463.76,3051.5288888888886,9.0,3.0,3.0,4.0,8306.06,41.31,0,1
SYNCID0000000036,CA,0,other,9949,1.0,0.0,2023-09-02,2023-10-28,Other Repair Services n.e.c.,1135896.04,2890.3207124681935,393.0,2.0,214.0,179.0,262342.21,-102.54,4,1
SYNCID0000000037,CA,ON,SCARBOROUGH,7752,4.0,0.0,2023-12-31,2024-01-01,Offices of Engineers,97392.47,2864.484411764706,34.0,2.0,16.0,16.0,21316.19,4.16,3,1
SYNCID0000000038,CA,AB,EDMONTON,8652,0.0,0.0,2019-06-16,2019-08-07,"Offices of Physicians and Surgeons, Specialists",210942.41999999998,1387.7790789473684,152.0,6.0,106.0,5.0,67268.48,-71.46,0,1
SYNCID0000000039,CA,ON,MARKHAM,7215,0.0,135350.0,2008-04-29,0,Holding Companies,124021.4,2531.0489795918365,49.0,1.0,40.0,9.0,35386.72,2.06,3,1
SYNCID0000000040,CA,PE,STRATFORD,4013,0.0,0.0,2020-12-19,2020-12-22,Residential Renovation,454398.82,2195.163381642512,207.0,4.0,113.0,53.0,65254.4,0.0,0,1
SYNCID0000000041,CA,QC,MONTREAL,other,1.0,3167.0,2009-05-17,2009-06-29,0,12377.68,149.12867469879518,83.0,1.0,82.0,1.0,1898.76,-345.37,3,1
SYNCID0000000042,CA,ON,COLLINGWOOD,1099,0.0,0.0,2018-01-03,2018-02-17,Other Food Products Industries n.e.c.,7844.28,1120.6114285714286,7.0,1.0,3.0,4.0,3714.79,88.64,3,1
SYNCID0000000043,CA,ON,OTTAWA,7215,1.0,0.0,2013-11-20,2013-12-12,Holding Companies,1108394.93,3541.19785942492,313.0,1.0,135.0,178.0,112955.01,1.74,4,1
SYNCID0000000044,CA,ON,GUELPH,other,6.0,1244589.0,2002-09-23,2003-02-11,0,75709.44,5823.803076923077,13.0,4.0,5.0,3.0,38903.55,16.36,0,1
SYNCID0000000045,CA,ON,SARNIA,4561,1.0,0.0,2018-01-11,2019-11-01,General Freight Trucking Industry,7783.08,1945.77,4.0,1.0,3.0,1.0,6823.17,25.63,3,1
SYNCID0000000046,CA,0,other,4561,7.0,419221.0,2021-07-18,2022-07-31,General Freight Trucking Industry,138261.34,772.409720670391,179.0,3.0,31.0,10.0,8370.16,8.95,0,1
SYNCID0000000047,CA,0,other,8611,1.0,298649.0,2001-05-13,2000-01-16,General Hospitals,2117697.99,5500.51425974026,385.0,3.0,166.0,215.0,688236.05,2.14,4,1
SYNCID0000000048,CA,BC,MACKENZIE,7215,0.0,0.0,1997-12-28,0,Holding Companies,654729.37,15226.264418604651,43.0,1.0,25.0,18.0,342315.47,2.14,3,1
SYNCID0000000050,CA,QC,MONTREAL,7611,0.0,0.0,2012-03-19,2014-04-08,Insurance and Real Estate Agencies,97004.81,2552.758157894737,38.0,2.0,16.0,22.0,17755.76,24.71,3,1
SYNCID0000000051,CA,ON,WATERLOO,4013,3.0,117153.0,2014-01-29,2014-05-03,Residential Renovation,12095.72,525.9008695652174,23.0,4.0,11.0,6.0,5891.33,2.07,0,1
SYNCID0000000052,CA,ON,SCARBOROUGH,3999,4.0,0.0,1991-01-08,2011-12-31,Other Manufactured Products Industries n.e.c.,270411.25,2198.4654471544713,123.0,4.0,83.0,38.0,87372.47,0.0,0,1
SYNCID0000000053,CA,0,other,9141,1.0,139384.0,2021-02-12,2022-08-02,Outfitters (Hunting and Fishing Camps),27666.04,406.8535294117647,68.0,3.0,62.0,4.0,11161.0,-427.87,0,1
SYNCID0000000054,CA,ON,THORNHILL,9953,5.0,732400.0,0,2017-04-28,Janitorial Services,2127.6299999999997,1063.8149999999998,2.0,1.0,2.0,0.0,2098.14,29.49,3,1
SYNCID0000000055,CA,AB,AIRDRIE,other,0.0,0.0,0,2014-12-12,0,135584.0,11298.666666666666,12.0,2.0,6.0,6.0,76719.9,2.12,3,1
SYNCID0000000056,CA,AB,ROCKY MTN HOUSE,7721,1.0,965321.0,2001-12-29,2002-01-01,Computer Services,343875.12,4710.618082191781,73.0,4.0,59.0,12.0,236958.58,0.0,0,1
SYNCID0000000057,CA,ON,OTTAWA,9631,0.0,0.0,2009-06-07,2008-05-22,Entertainment Production Companies and Artists,127644.0,1005.0708661417323,127.0,4.0,102.0,21.0,19379.33,0.0,0,1
SYNCID0000000058,CA,0,other,0311,0.0,0.0,0,2020-10-10,0,145189.94,1015.3142657342657,143.0,3.0,136.0,7.0,86907.23,0.0,0,1
SYNCID0000000059,CA,AB,ROCKY VIEW COUNTY,7511,0.0,0.0,2010-06-20,2016-08-27,Operators of Residential Buildings and Dwellings,31640.38,1757.798888888889,18.0,3.0,11.0,7.0,14805.85,3.39,0,1
SYNCID0000000060,CA,QC,BOUCHERVILLE,other,2.0,0.0,2004-01-28,2004-04-11,0,129905.94,371.1598285714286,350.0,5.0,333.0,16.0,14579.3,-219.42,0,1
SYNCID0000000061,CA,AB,other,9659,1.0,0.0,2019-09-06,2019-10-21,Other Sports and Recreation Clubs,35072.4,1948.4666666666667,18.0,4.0,5.0,11.0,8357.69,35.88,0,1
SYNCID0000000062,CA,BC,BURNABY,4569,1.0,279426.0,0,2013-11-27,Other Truck Transport Industries,480900.24999999994,6412.003333333332,75.0,5.0,65.0,7.0,450486.23,0.0,0,1
SYNCID0000000063,CA,BC,DUNCAN,other,0.0,0.0,1964-06-05,2016-12-07,0,337157.43,4111.675975609756,82.0,6.0,6.0,1.0,262017.1,2.14,0,1
SYNCID0000000064,CA,ON,0,6593,1.0,261476.0,2008-06-23,2011-02-20,Art Galleries and Artists' Supply Stores,72363.91,695.806826923077,104.0,4.0,88.0,13.0,22174.18,-85.57,0,1
SYNCID0000000065,CA,ON,WASAGA BEACH,6121,6.0,0.0,2020-10-21,2020-12-15,Men's Clothing Stores,100301.99,1139.795340909091,88.0,4.0,72.0,16.0,28764.75,0.0,0,1
SYNCID0000000066,CA,ON,LONDON,0229,0.0,247659.0,2013-06-08,0,0,66026.57,515.832578125,128.0,3.0,118.0,10.0,19511.33,-230.22,0,1
SYNCID0000000067,CA,ON,OTTAWA,6231,6.0,734149.0,0,2006-12-22,Floor Covering Stores,456163.01,3281.748273381295,139.0,5.0,74.0,28.0,79672.64,-303.6,0,1
SYNCID0000000068,CA,0,other,4013,1.0,0.0,2020-03-15,2020-06-20,Residential Renovation,169963.79,1517.5338392857143,112.0,5.0,84.0,13.0,57152.47,0.0,0,1
SYNCID0000000069,CA,NL,ST. JOHN'S,9112,15.0,165941.0,2015-08-14,2015-11-23,Motels,7423.53,571.0407692307692,13.0,3.0,4.0,1.0,1729.98,14.74,0,1
SYNCID0000000070,CA,ON,WHITBY,9811,0.0,0.0,2020-10-11,2020-10-16,Religious Organizations,3266.99,362.99888888888887,9.0,1.0,0.0,0.0,1062.08,34.1,3,1
SYNCID0000000071,CA,QC,MONTREAL,other,4.0,0.0,2022-02-02,0,0,108704.4,1168.8645161290322,93.0,5.0,73.0,8.0,28839.3,-38.57,0,1
SYNCID0000000072,CA,ON,KITCHENER,0211,0.0,0.0,1994-07-24,1994-08-24,0,25173.010000000002,1324.8952631578948,19.0,4.0,16.0,2.0,10829.68,9.83,0,1
SYNCID0000000073,CA,AB,0,0231,0.0,0.0,1963-11-10,1998-05-13,0,263303.07,5723.979782608696,46.0,1.0,27.0,19.0,102647.5,2.1,3,1
SYNCID0000000074,CA,0,other,9211,2.0,72172.0,1986-03-05,0,"Restaurants, Licensed",83879.46,3646.933043478261,23.0,1.0,15.0,8.0,46324.77,19.29,3,1
SYNCID0000000075,CA,0,other,7731,1.0,252807.0,2001-06-21,2001-08-28,Offices of Chartered and Certified Accountants,301120.7,5576.309259259259,54.0,5.0,13.0,3.0,232576.73,2.12,0,1
SYNCID0000000076,CA,ON,BRAMPTON,6599,2.0,0.0,2023-09-28,0,Other Retail Stores n.e.c.,331.49,110.49666666666667,3.0,2.0,2.0,1.0,222.81,10.78,3,1
SYNCID0000000077,CA,BC,RICHMOND,8651,1.0,0.0,0,2020-12-18,"Offices of Physicians, General Practice",78731.15,667.2131355932203,118.0,4.0,85.0,13.0,17358.89,-182.33,0,1
SYNCID0000000078,CA,AB,other,7215,1.0,0.0,0,2023-10-23,Holding Companies,78128.51,1662.3087234042553,47.0,3.0,39.0,8.0,17118.07,17.06,0,1
SYNCID0000000079,CA,0,other,6532,2.0,219715.0,2020-03-18,2020-06-03,"Paint, Glass and Wallpaper Stores",8899.15,8899.15,1.0,1.0,1.0,0.0,8899.15,8899.15,3,1
SYNCID0000000080,CA,SK,SASKATOON,8653,0.0,0.0,2005-12-14,0,"Offices of Dentists, General Practice",6255.65,6255.65,1.0,1.0,0.0,1.0,6255.65,6255.65,3,1
SYNCID0000000081,CA,QC,MONTREAL,9639,1.0,13684.0,0,2011-05-08,Other Theatrical and Staged Entertainment Services,19942.34,949.6352380952382,21.0,1.0,19.0,2.0,3982.33,29.85,3,1
SYNCID0000000082,CA,ON,POWASSAN,4226,0.0,0.0,1981-08-06,0,Rough and Framing Carpentry,504375.8,31523.4875,16.0,2.0,9.0,7.0,391903.04,45.5,3,1
SYNCID0000000083,CA,AB,EDMONTON,7215,1.0,36025.0,2018-12-12,2018-12-21,Holding Companies,2304.45,384.075,6.0,3.0,2.0,3.0,770.79,153.54,0,1
SYNCID0000000084,CA,BC,RICHMOND,4013,2.0,135506.0,2020-10-14,2022-04-25,Residential Renovation,212635.33000000002,1968.8456481481483,108.0,4.0,70.0,37.0,24203.86,4.08,0,1
SYNCID0000000085,CA,0,other,6412,0.0,77720.0,2016-02-20,2016-06-02,General Stores,21721.21,804.4892592592593,27.0,3.0,24.0,3.0,5386.36,11.87,0,1
SYNCID0000000086,CA,ON,WATERLOO,other,0.0,0.0,1995-09-10,1995-11-02,0,718716.0,2053.4742857142855,350.0,4.0,217.0,122.0,179243.27,0.0,4,1
SYNCID0000000087,CA,0,other,4499,2.0,0.0,2023-12-20,2024-01-01,Other Services Incidental to Construction n.e.c.,1264430.78,3654.424219653179,346.0,3.0,143.0,202.0,407847.32,0.0,4,1
SYNCID0000000088,CA,0,other,7771,0.0,0.0,2015-07-07,2016-02-07,Management Consulting Services,109870.64,10987.064,10.0,2.0,5.0,5.0,89116.49,5.02,3,1
SYNCID0000000089,CA,ON,ALLISTON,9712,3.0,125506.0,2006-04-24,2006-12-05,Beauty Shops,52266.909999999996,661.6064556962025,79.0,5.0,38.0,7.0,4850.59,0.0,0,1
SYNCID0000000090,CA,PE,STRATFORD,7771,1.0,230171.0,2009-03-15,2009-11-27,Management Consulting Services,59573.21,277.0846976744186,215.0,1.0,213.0,2.0,14569.84,0.0,3,1
SYNCID0000000091,CA,0,other,4299,1.0,120718.0,0,0,Other Trade Work n.e.c.,30182.76,2743.8872727272724,11.0,2.0,7.0,4.0,22264.22,0.0,3,1
SYNCID0000000092,CA,BC,NORTH VANCOUVER,7611,50.0,0.0,1991-09-08,1991-07-26,Insurance and Real Estate Agencies,109701.52,7313.434666666667,15.0,1.0,11.0,4.0,64817.75,69.36,3,-1
SYNCID0000000093,CA,0,other,7759,1.0,247492.0,2021-04-14,2021-05-31,Other Scientific and Technical Services,93935.1,2471.976315789474,38.0,4.0,18.0,12.0,51169.76,2.08,0,1
SYNCID0000000094,CA,SK,SASKATOON,7752,2.0,0.0,2014-07-29,2018-08-13,Offices of Engineers,2639294.51,34276.552077922075,77.0,5.0,55.0,15.0,2076367.63,-183.02,0,1
SYNCID0000000095,CA,ON,RICHMOND,7511,0.0,0.0,2011-09-11,2011-11-10,Operators of Residential Buildings and Dwellings,34025.17,1546.5986363636364,22.0,3.0,13.0,9.0,14039.42,17.14,0,1
SYNCID0000000096,CA,ON,MISSISSAUGA,other,4.0,767846.0,1999-03-03,1999-12-30,0,538855.05,5231.602427184466,103.0,2.0,74.0,29.0,102737.98,0.59,3,1
SYNCID0000000097,CA,ON,TORONTO,7759,2.0,0.0,2018-07-27,2019-09-03,Other Scientific and Technical Services,35921.19,2763.1684615384615,13.0,3.0,10.0,3.0,11249.32,26.26,0,1
SYNCID0000000098,CA,0,other,5999,40.0,0.0,0,2013-10-22,"Other Products n.e.c., Wholesale",578521.96,9974.516551724137,58.0,3.0,27.0,26.0,211779.71,3.09,0,1
SYNCID0000000099,CA,ON,ACTON,0112,2.0,683362.0,1996-12-10,1996-12-19,0,38956.31,1693.752608695652,23.0,5.0,6.0,0.0,19177.51,62.37,0,1
SYNCID0000000100,CA,0,other,8651,0.0,0.0,2006-05-27,2006-07-07,"Offices of Physicians, General Practice",158803.05,763.4762019230768,208.0,5.0,34.0,9.0,28139.59,3.06,0,1
SYNCID0000000101,CA,BC,VANCOUVER,8641,10.0,500421.0,2021-02-16,2021-07-27,Child Day-Care and Nursery School Services,820240.87,5987.159635036496,137.0,2.0,90.0,47.0,138914.44,2.16,3,1
SYNCID0000000102,CA,ON,BRAMPTON,6031,0.0,106274.0,2020-11-18,2017-04-30,Pharmacies,13649.58,1949.94,7.0,1.0,3.0,4.0,10932.75,10.59,3,1
SYNCID0000000103,CA,BC,other,7292,0.0,0.0,2019-12-05,2020-01-01,"Estate, Trust and Agency Funds",61754.27,1143.5975925925925,54.0,1.0,39.0,15.0,20235.17,17.91,3,1
SYNCID0000000104,CA,ON,ORILLIA,4821,1.0,0.0,2022-05-24,2022-09-16,Telecommunication Carriers Industry,1039.67,259.9175,4.0,1.0,2.0,2.0,596.58,25.27,3,1
SYNCID0000000105,CA,ON,AURORA,8651,1.0,0.0,2020-01-06,2021-11-27,"Offices of Physicians, General Practice",67657.98,1127.633,60.0,3.0,13.0,45.0,10508.26,10.71,0,1
SYNCID0000000106,CA,SK,SASKATOON,4589,1.0,0.0,2023-10-19,2023-11-18,Other Transportation Industries n.e.c.,255966.05,3506.3842465753423,73.0,4.0,19.0,36.0,82094.59,21.41,0,1
SYNCID0000000107,CA,AB,CAMROSE,6031,0.0,98313.0,2012-05-19,2012-09-22,Pharmacies,7503150.68,13817.957053406997,543.0,5.0,123.0,418.0,4228795.39,0.0,4,1
SYNCID0000000108,CA,BC,LANGLEY,nan,0.0,0.0,2020-09-12,0,0,251775.16,3496.8772222222224,72.0,3.0,43.0,27.0,79192.37,48.37,0,1
SYNCID0000000109,CA,ON,TORONTO,0219,1.0,212089.0,2020-02-21,2020-10-18,0,42298.05,4229.805,10.0,1.0,7.0,3.0,14147.01,54.5,3,1
SYNCID0000000110,CA,ON,OTTAWA,8599,1.0,267345.0,2006-02-27,2006-03-14,Other Educational Services,245057.5,2248.233944954128,109.0,4.0,80.0,27.0,29182.12,0.0,0,1
SYNCID0000000111,CA,ON,TRENTON,other,4.0,0.0,0,0,0,91484.73,2690.7273529411764,34.0,3.0,22.0,6.0,13423.09,2.13,0,1
SYNCID0000000112,CA,ON,BRAMPTON,4581,0.0,0.0,2022-09-17,2022-11-12,Taxicab Industry,28731.2,3591.4,8.0,1.0,4.0,4.0,18837.27,4.15,3,1
SYNCID0000000113,CA,ON,RICHMOND HILL,6581,0.0,40287.0,2007-05-22,2007-07-29,Toy and Hobby Stores,886192.06,4842.579562841531,183.0,3.0,40.0,142.0,82129.9,2.13,0,1
SYNCID0000000114,CA,ON,RICHMOND,8669,0.0,0.0,2022-07-10,2023-12-28,Offices of Other Health Practitioners,26302.5,346.0855263157895,76.0,1.0,76.0,0.0,8432.78,0.0,3,1
SYNCID0000000115,CA,0,other,7292,2.0,0.0,1987-06-22,1992-06-30,"Estate, Trust and Agency Funds",16606.24,1037.89,16.0,3.0,13.0,3.0,4484.46,0.0,0,1
SYNCID0000000116,CA,AB,CALGARY,7761,1.0,240032.0,0,2017-04-21,Offices of Lawyers and Notaries,158381.22,2474.7065625,64.0,4.0,26.0,29.0,46542.04,33.46,0,1
SYNCID0000000117,CA,0,other,4214,0.0,0.0,0,0,Excavating and Grading,227193.59,601.0412433862434,378.0,4.0,330.0,30.0,41072.88,-343.42,0,1
SYNCID0000000118,CA,0,other,4011,1.0,16086.0,2020-09-27,2020-10-12,Single Family Housing,86938.18000000001,2414.9494444444445,36.0,3.0,24.0,11.0,17078.4,11.73,0,1
SYNCID0000000119,CA,ON,TORONTO,8652,1.0,25481.0,2012-03-16,2012-11-27,"Offices of Physicians and Surgeons, Specialists",16937.13,2822.855,6.0,1.0,5.0,1.0,11907.97,81.41,3,1
SYNCID0000000120,CA,ON,GRAVENHURST,8653,0.0,0.0,2007-09-15,2000-04-23,"Offices of Dentists, General Practice",1103832.6400000001,3859.5546853146857,286.0,2.0,93.0,193.0,153976.85,2.07,4,1
SYNCID0000000122,CA,BC,KAMLOOPS,nan,2.0,147280.0,2007-09-17,2007-11-15,0,32436.97,5406.161666666667,6.0,2.0,4.0,2.0,30697.4,22.18,3,1
SYNCID0000000123,CA,0,other,9861,0.0,0.0,1984-04-23,2018-03-01,Civic and Fraternal Organizations,42903.69,8580.738000000001,5.0,1.0,3.0,2.0,32406.96,1881.21,3,1
SYNCID0000000124,CA,ON,TORONTO,7215,1.0,56334.0,0,2005-12-29,Holding Companies,11998.39,499.93291666666664,24.0,4.0,9.0,3.0,3236.61,0.0,0,1
SYNCID0000000125,CA,0,other,0112,1.0,66961.0,0,2018-10-04,0,429299.83,9756.814318181818,44.0,3.0,22.0,22.0,182815.71,4.3,0,1
SYNCID0000000126,CA,BC,DELTA,0122,2.0,0.0,2023-04-17,2023-09-24,0,381685.39,3234.6219491525426,118.0,4.0,55.0,9.0,265574.86,0.0,0,1
SYNCID0000000127,CA,0,other,4011,1.0,180569.0,2006-10-29,2014-02-20,Single Family Housing,175331.98,3130.9282142857146,56.0,4.0,26.0,24.0,39244.44,0.0,0,1
SYNCID0000000128,CA,MB,WINNIPEG,4565,0.0,0.0,2015-12-28,2016-01-01,Forest Products Trucking Industry,473830.96,1768.025970149254,268.0,1.0,79.0,189.0,36628.14,0.69,4,1
SYNCID0000000129,CA,ON,NORTH YORK,nan,3.0,258907.0,2008-02-27,0,0,77849.97,837.0964516129033,93.0,5.0,74.0,18.0,11594.03,0.0,0,1
SYNCID0000000131,CA,ON,OTTAWA,7215,0.0,0.0,2018-07-12,2018-10-20,Holding Companies,12203.69,225.99425925925928,54.0,2.0,49.0,5.0,4912.76,-6.47,3,1
SYNCID0000000132,CA,0,other,7215,0.0,0.0,2008-10-15,0,Holding Companies,13496.32,562.3466666666667,24.0,2.0,21.0,3.0,4556.97,0.0,3,1
SYNCID0000000133,CA,0,other,4021,1.0,0.0,2022-08-10,2022-12-15,Manufacturing and Light Industrial Building,75329.5,3964.7105263157896,19.0,1.0,11.0,8.0,40075.91,2.11,3,1
SYNCID0000000134,CA,ON,TORONTO,7215,0.0,0.0,2012-03-29,0,Holding Companies,3366.29,673.258,5.0,2.0,3.0,2.0,1256.73,34.8,3,1
SYNCID0000000135,CA,NS,HALIFAX,6561,1.0,75420.0,1999-03-24,1999-11-29,Jewellery Stores,-20.490000000000002,-10.245000000000001,2.0,1.0,1.0,1.0,19.33,-39.82,3,1
SYNCID0000000136,CA,ON,SCARBOROUGH,7421,2.0,0.0,2000-02-09,2000-11-11,Mortgage Brokers,1153.1799999999998,576.5899999999999,2.0,1.0,1.0,1.0,585.04,568.14,3,1
SYNCID0000000137,CA,0,other,8651,0.0,0.0,2023-03-25,0,"Offices of Physicians, General Practice",2040877.74,6941.761020408163,294.0,1.0,38.0,256.0,287873.14,0.65,4,1
SYNCID0000000138,CA,QC,TERREBONNE,4499,1.0,252312.0,2019-04-13,2019-11-24,Other Services Incidental to Construction n.e.c.,256461.31999999998,10258.4528,25.0,3.0,15.0,9.0,115948.62,134.46,0,1
SYNCID0000000139,CA,AB,SLAVE LAKE,9999,0.0,0.0,0,2023-09-04,Other Services n.e.c.,36834.98,767.3954166666667,48.0,3.0,3.0,1.0,10094.12,20.7,0,1
SYNCID0000000140,CA,ON,TORONTO,9611,0.0,0.0,2014-05-30,2014-06-23,Motion Picture and Video Production,21882.37,429.06607843137255,51.0,3.0,38.0,6.0,3021.65,0.0,0,1
SYNCID0000000141,CA,QC,other,other,8.0,1253269.0,1997-11-30,1999-09-12,0,62039.549999999996,2215.698214285714,28.0,1.0,12.0,16.0,21528.16,0.29,3,1
SYNCID0000000142,CA,AB,CALGARY,0919,0.0,604797.0,1995-09-28,2005-02-28,0,68921.06,253.38625,272.0,1.0,263.0,9.0,10325.71,-280.12,3,1
SYNCID0000000143,CA,AB,STONY PLAIN,other,1.0,491210.0,0,1997-11-02,0,325406.71,1787.948956043956,182.0,4.0,67.0,33.0,66135.46,-6577.66,0,1
SYNCID0000000144,CA,0,other,4299,2.0,1.0,2020-02-12,2020-12-15,Other Trade Work n.e.c.,1987231.75,3896.532843137255,510.0,5.0,244.0,177.0,650180.57,0.0,4,1
SYNCID0000000145,CA,0,other,7292,0.0,0.0,2021-03-24,2021-09-06,"Estate, Trust and Agency Funds",269992.95,8181.604545454546,33.0,1.0,26.0,7.0,219508.95,35.88,3,1
SYNCID0000000146,CA,BC,SALMON ARM,8651,1.0,0.0,2018-05-06,2018-11-19,"Offices of Physicians, General Practice",657838.43,4415.023020134228,149.0,1.0,110.0,39.0,248002.57,0.0,3,1
